,X_WGS84,Y_WGS84,solrig
291,-96.417356,47.056714,1
292,-92.813616,44.768807,1
293,-94.498906,44.02921,1
294,-94.337526,46.346237,1
295,-95.633532,47.768499,1
296,-93.318479,44.984332,1
297,-95.027783,46.783549,1
298,-96.163101,43.652541,1
299,-100.228722,50.792537,1
300,-104.9619,39.73193,1
301,-105.208924,39.717168,1
302,-88.234173,41.698828,1
303,-105.094969,39.542081,1
304,-105.349743,39.693644,1
305,-96.652168,33.26012,1
306,-83.997359,42.475151,1
307,-94.22548,45.72465,1
308,-94.046028,41.211655,1
309,-70.863665,42.916201,1
310,-83.134683,38.436819,1
311,-79.765059,35.630554,1
312,-80.804608,35.004179,1
313,-86.144833,33.9935,1
314,-103.718194,42.566077,1
315,-89.850703,40.152471,1
316,-86.496303,32.125945,1
317,-98.069861,42.77002,1
318,-96.824563,40.706293,1
319,-89.059909,42.992044,1
320,-85.884262,34.270712,1
321,-92.029665,44.562092,1
322,-89.90096,43.91995,1
323,-88.736105,33.512897,1
324,-92.651232,45.400022,1
325,-88.188313,42.351496,1
326,-87.633269,41.965233,1
327,-90.825279,41.432966,1
328,-105.294831,40.072746,1
329,-100.826438,46.832255,1
330,-89.975351,38.744563,1
331,-88.729384,41.831472,1
332,-88.016401,41.65924,1
333,-89.335467,41.240122,1
334,-87.863569,41.771944,1
335,-85.47956,42.88697,1
336,-83.22599,42.7603,1
337,-85.72426,43.42275,1
338,-85.341961,42.933643,1
339,-108.91,45.3,1
340,-96.75,49.92,1
341,-106.6,52.14,1
342,-107.8,50.28,1
343,-108.32,52.73,1
344,-113.24,52.2,1
345,-113.22,53.72,1
346,-107.7,53.58,1
347,-100.52,50.72,1
348,-113.77,52.37,1
349,-119.11,55.3,1
350,-81.284485,42.985112,1
351,-82.524627,42.600068,1
352,-81.565249,43.144264,1
353,-88.055834,44.531701,1
354,-76.154908,40.449787,1
355,-97.474115,32.987446,1
356,-95.447597,29.676331,1
357,-96.731052,32.823279,1
358,-96.635083,33.615912,1
359,-89.0361,41.311055,1
360,-93.199635,45.40168,1
361,-96.486017,33.338463,1
362,-104.3457,44.1932,1
363,-97.1701,40.0528,1
364,-91.090031,41.326871,1
365,-104.1766,46.5046,1
366,-102.856597,42.337613,1
367,-92.700195,40.491414,1
368,-92.83302,32.023213,1
369,-104.1027,44.4649,1
370,-83.814481,42.406417,1
371,-107.2244,44.9315,1
372,-105.6133,33.0252,1
373,-104.0622,41.9078,1
374,-97.6652,41.2132,1
375,-96.672934,44.768629,1
376,-70.139599,41.291642,1
377,-83.323763,35.165095,1
378,-73.683106,40.636881,1
379,-105.5082,44.9164,1
380,-100.665419,47.838058,1
381,-105.9346,45.4917,1
382,-97.323134,34.852075,1
383,-82.718239,41.507272,1
384,-96.6541,39.198,1
385,-96.975086,34.498993,1
386,-91.719292,37.842097,1
387,-96.771942,38.362345,1
388,-103.443448,47.606916,1
389,-94.654193,41.817026,1
390,-93.242178,44.277623,1
391,-94.101518,45.539575,1
392,-89.485773,43.121636,1
393,-96.216113,46.688831,1
394,-88.265881,41.841667,1
395,-81.783406,41.139316,1
396,-91.91638,43.405136,1
397,-94.35589,45.47362,1
398,-87.662038,44.28221,1
399,-88.353751,42.338286,1
400,-92.656947,44.525645,1
401,-92.105331,46.796485,1
402,-90.810659,38.472913,1
403,-105.272445,39.944397,1
404,-93.401389,44.547025,1
405,-88.457125,42.830895,1
406,-96.157761,37.822597,1
407,-89.02296,43.891254,1
