,X_WGS84,Y_WGS84,ratcol
137,-88.403912,41.95021,1
138,-105.040542,39.533858,1
139,-100.381767,35.735307,1
140,-96.975661,33.065597,1
141,-96.569817,29.833791,1
142,-98.126876,30.037008,1
143,-93.375603,44.882267,1
144,-98.815553,29.884075,1
145,-95.402652,32.586694,1
146,-106.591488,32.330477,1
147,-99.446204,46.716037,1
148,-107.219819,39.413739,1
149,-96.717396,29.842491,1
150,-108.652301,33.921892,1
151,-111.406252,41.963771,1
152,-88.274324,42.258603,1
153,-101.302616,37.135721,1
154,-89.315438,43.076987,1
155,-87.898058,43.079904,1
156,-78.89904,35.91748,1
157,-98.46957,40.900741,1
158,-104.638857,50.431556,1
159,-95.784769,46.777306,1
160,-97.503093,33.487137,1
161,-97.051196,36.115971,1
162,-100.275009,25.656726,1
163,-93.463968,35.468965,1
164,-88.122732,42.009405,1
165,-94.652746,38.883087,1
166,-101.815396,37.02035,1
167,-108.275588,32.771281,1
168,-106.296347,42.837696,1
169,-97.616692,31.012669,1
170,-96.659107,43.581115,1
171,-105.572121,40.338625,1
172,-99.74889,42.830002,1
173,-97.716673,31.422589,1
174,-97.61062,35.604987,1
175,-105.045188,39.742885,1
176,-103.134975,32.792398,1
177,-96.295401,30.65401,1
178,-104.839256,51.240424,1
179,-110.99098,45.665925,1
180,-111.166612,45.872433,1
181,-71.111807,42.477289,1
182,-98.498701,45.151346,1
183,-105.243872,41.185187,1
184,-97.16047,35.601621,1
185,-100.217051,25.854445,1
186,-112.290099,40.537126,1
187,-94.194415,46.055657,1
188,-114.154722,46.31688,1
189,-97.947142,36.52435,1
190,-93.76323,41.574603,1
191,-105.941913,35.719106,1
192,-104.871097,50.642662,1
193,-99.100566,19.398709,1
194,-92.203179,43.544308,1
195,-111.852781,40.674054,1
196,-91.51264,41.637176,1
197,-105.566711,36.361437,1
198,-98.711419,31.400602,1
199,-92.58985,38.632645,1
200,-113.183934,37.206788,1
201,-91.128709,41.43522,1
202,-93.711042,41.301077,1
203,-94.060875,39.617219,1
204,-105.89179,35.577118,1
205,-100.28782,35.927744,1
206,-100.37339,34.12385,1
207,-94.216286,36.099044,1
208,-94.646054,31.628605,1
209,-97.42868,34.740017,1
210,-100.780484,34.904497,1
211,-100.986126,34.540806,1
212,-98.639885,29.513559,1
213,-111.892459,34.832241,1
