,X_WGS84,Y_WGS84,hescom
349,-159.27,63.09,0
350,-159.24,59.28,0
351,-159.12,70.02,0
352,-159.08,68,0
353,-159.04,61.5,0
354,-158.88,69.2,0
355,-158.85,56.5,0
356,-158.55,67.51,0
357,-158.55,63.59,0
358,-158.51,59.93,0
359,-158.47,62.71,0
360,-158.4,69.75,0
361,-158.25,66.55,0
362,-158.17,60.73,0
363,-158.05,68.8,0
364,-157.9,65.56,0
365,-157.9,61.8,0
366,-157.86,63.43,0
367,-157.86,56.96,0
368,-157.83,59.4,0
369,-157.75,70.21,0
370,-157.6,60.12,0
371,-157.52,65.07,0
372,-157.45,68.08,0
373,-157.33,61.38,0
374,-157.14,67.39,0
375,-157.1,65.83,0
376,-157.1,63.28,0
377,-157.07,69.22,0
378,-156.99,62.37,0
379,-156.91,66.78,0
380,-156.84,59.36,0
381,-156.84,57.42,0
382,-156.76,64.33,0
383,-156.65,60.27,0
384,-156.57,58.26,0
385,-156.53,61.19,0
386,-156.34,70.17,0
387,-156.34,63.97,0
388,-156.3,62.94,0
389,-156.27,58.9,0
390,-156.23,65.37,0
391,-156.15,68.84,0
392,-156.08,58.29,0
393,-156.06,59.85,0
394,-156,66.06,0
395,-155.85,62.4,0
396,-155.66,61.74,0
397,-155.66,66.59,0
398,-155.58,63.24,0
399,-155.5,65.49,0
400,-155.43,67.51,0
401,-155.43,69.79,0
402,-155.39,64.38,0
403,-155.35,60.65,0
404,-155.16,59.93,0
405,-154.97,58.64,0
406,-154.86,65.18,0
407,-154.63,63.43,0
408,-154.55,68.15,0
409,-154.48,61.57,0
410,-154.33,64.09,0
411,-154.25,69.98,0
412,-154.17,63.01,0
413,-153.91,68.92,0
414,-153.87,65.87,0
415,-153.79,64.77,0
416,-153.75,66.59,0
417,-153.71,62.33,0
418,-153.68,61.49,0
419,-153.52,60.62,0
420,-153.3,65.53,0
421,-153.26,63.36,0
422,-153.26,67.13,0
423,-153.22,68.53,0
424,-153.14,70.29,0
425,-152.95,61.53,0
426,-152.72,69.6,0
427,-152.65,66.86,0
428,-152.57,64.69,0
429,-152.57,61.07,0
430,-152.53,65.79,0
431,-152.42,63.43,0
432,-152.31,61.91,0
433,-152,69.14,0
434,-151.93,63.93,0
435,-151.89,61.26,0
436,-151.85,66.75,0
437,-151.66,62.33,0
438,-151.47,68.34,0
439,-151.35,66.13,0
440,-151.28,69.75,0
441,-151.24,64.46,0
442,-151.192595,63.114803,0
443,-151.05,67.62,0
444,-151.01,61.68,0
445,-150.94,66.44,0
446,-150.86,66.82,0
447,-150.67,69.37,0
448,-150.63,62.86,0
449,-150.52,65.79,0
450,-150.48,68.61,0
451,-150.4,61.8,0
452,-150.17,64.23,0
453,-150.06,67.16,0
454,-150.02,65.15,0
455,-149.95,62.29,0
456,-149.87,69.45,0
457,-149.79,69.94,0
458,-149.64,68.99,0
459,-149.64,66.63,0
460,-149.6,63.47,0
461,-149.53,68.15,0
462,-149.49,61.83,0
463,-149.45,62.67,0
464,-149.34,65.87,0
465,-149.23,67.63,0
466,-149.11,69.45,0
467,-148.73,62.33,0
468,-148.54,63.55,0
469,-148.46,66.29,0
470,-148.439042,61.788505,0
471,-148.42,67.13,0
472,-148.27,64.88,0
473,-148.27,62.79,0
474,-148.08,69.26,0
475,-147.89,68.15,0
476,-147.74,62.06,0
477,-147.62,65.83,0
478,-147.59,69.07,0
479,-147.47,66.63,0
480,-147.43,63.51,0
481,-147.39,67.66,0
482,-147.13,64.31,0
483,-147.13,62.56,0
484,-146.94,61.95,0
485,-146.79,65.49,0
486,-146.63,68,0
487,-146.56,69.35,0
488,-146.37,63.2,0
489,-146.37,61.53,0
490,-146.33,65.87,0
491,-146.25,67.01,0
492,-146.155564,64.256775,0
493,-145.644103,64.148606,0
