,X_WGS84,Y_WGS84,helmax
311,-94.070605,39.01393,1
312,-95.045067,29.38994,1
313,-95.799958,30.548472,1
314,-96.704261,33.087846,1
315,-96.72286,32.729133,1
316,-103.48649,43.582286,1
317,-99.469678,30.061155,1
318,-83.04822,42.25583,1
319,-96.321988,44.010102,1
320,-113.511098,53.531792,1
321,-112.351029,54.761864,1
322,-97.822049,30.100261,1
323,-96.980849,33.06477,1
324,-98.175138,31.068256,1
325,-97.14831,33.244816,1
326,-97.102016,32.553055,1
327,-97.281497,32.885949,1
328,-101.058988,34.412615,1
329,-101.691135,34.980061,1
330,-90.824865,38.475442,1
331,-91.038989,30.426337,1
332,-95.667132,33.292189,1
333,-97.678505,37.536893,1
334,-97.343916,33.087888,1
335,-96.388888,30.549147,1
336,-96.569959,39.106415,1
337,-98.67409,30.234849,1
338,-99.34919,42.60104,1
339,-102.3358943,47.35269065,1
340,-95.71601,40.0672,1
341,-100.06957,45.82235,1
342,-103.54602,45.58454,1
343,-97.71805,44.06872,1
344,-98.00262916,46.10680389,1
345,-101.763084,40.093769,1
346,-103.1985433,46.71082732,1
347,-97.62682,45.85149,1
348,-103.026252,47.90603654,1
349,-97.20854,44.58138,1
350,-98.282523,40.874343,1
351,-97.9937,45.8696,1
352,-101.52277,42.04178,1
353,-99.0324625,46.31440882,1
354,-96.99367,43.25783,1
355,-103.3267876,47.59925507,1
356,-96.389599,34.020331,1
357,-99.81697,43.34555,1
358,-98.08215,43.6755,1
359,-98.05850784,46.90771145,1
360,-98.31034,43.09829,1
361,-97.6109,44.48805,1
362,-98.5163,45.66305,1
363,-98.57458,43.05722,1
364,-100.7992833,46.01197178,1
365,-97.6320874,46.05610558,1
366,-98.2603462,46.00894317,1
367,-102.75327,42.10108,1
368,-95.21542,37.68923,1
369,-95.21568,39.04887,1
370,-98.637367,38.96223,1
371,-95.42028,37.40149,1
372,-96.568,39.40302,1
373,-96.28418,38.77328,1
374,-98.14724,39.05635,1
375,-97.65858,39.54569,1
376,-94.84263,37.56671,1
377,-96.73008,38.0387,1
378,-103.774996,44.365327,1
379,-98.54324,38.19719,1
380,-96.54217,38.311,1
381,-95.67123,39.74686,1
382,-98.96821,39.65749,1
383,-96.49994,37.24048,1
384,-92.435247,42.74402,1
385,-99.80813,38.774792,1
386,-95.196619,37.318036,1
387,-95.24319,37.56674,1
388,-97.257649,37.61175,1
389,-95.687794,38.590665,1
390,-96.527633,38.050386,1
391,-95.700948,37.686387,1
392,-96.18916,38.49261,1
393,-96.06972,38.51912,1
394,-95.76272,38.2678,1
395,-98.66314,39.40716,1
396,-96.85941,39.03241,1
397,-97.96888,38.02704,1
398,-94.79083,38.42024,1
399,-95.26609,38.60784,1
400,-95.62281,39.00437,1
401,-94.79514,39.04778,1
402,-100.925833,38.681801,1
403,-96.13403,37.51271,1
404,-95.06875,37.76144,1
405,-100.46783,38.6418,1
406,-96.30546,37.78196,1
407,-95.86456,37.30891,1
408,-96.12077,38.66755,1
409,-100.50198,37.19913,1
410,-94.68189,38.26443,1
411,-94.68299,37.00934,1
412,-96.23412,38.86026,1
413,-95.254831,38.043086,1
414,-95.91145,38.75151,1
415,-95.86731,37.78425,1
416,-98.78019,39.6606,1
417,-95.71284,38.39515,1
418,-96.18916,38.33314,1
419,-96.64163,37.52178,1
420,-98.50757,37.25315,1
421,-101.14647,37.78328,1
422,-98.66734,38.4788,1
423,-99.46416,37.20191,1
424,-95.28729,38.957,1
425,-96.68124,37.12227,1
426,-96.89642,38.28911,1
427,-96.91467,37.1684,1
428,-97.89477,39.84111,1
429,-104.583464,44.402292,1
430,-95.319716,38.24333,1
431,-103.85903,44.56851,1
432,-105.198694,39.902914,1
433,-104.8367379,44.59007826,1
434,-165.86,65.56,0
435,-165.81,65.65,0
436,-165.4,64.92,0
437,-165.23,61.70,0
438,-165.17,68.40,0
439,-165.02,65.79,0
440,-164.88,65.35,0
441,-164.73,62.00,0
442,-164.66,61.25,0
443,-164.57,66.17,0
444,-164.50,62.63,0
445,-164.41,62.18,0
446,-164.32,65.83,0
447,-164.23,65.69,0
448,-164.15,68.42,0
449,-164.05,61.77,0
450,-163.99,60.77,0
451,-163.90,65.43,0
452,-163.82,68.03,0
453,-163.71,62.36,0
454,-163.69,61.68,0
455,-163.59,60.23,0
456,-163.46,62.75,0
457,-163.41,68.52,0
458,-163.27,60.73,0
459,-163.23,67.81,0
460,-163.21,65.67,0
461,-163.19,62.33,0
462,-163.14,61.89,0
463,-163,65.22,0
464,-162.97,68.10,0
465,-162.91,67.46,0
466,-162.85,62.70,0
467,-162.81,61.35,0
468,-162.76,60.41,0
469,-162.74,68.92,0
470,-162.69,68.34,0
471,-162.57,65.42,0
472,-162.55,62.32,0
473,-162.53,60.87,0
474,-162.51,61.03,0
475,-162.51,64.83,0
476,-162.48,69.59,0
477,-162.4,61.95,0
478,-162.38,61.88,0
479,-162.36,67.32,0
480,-162.30,61.25,0
481,-162.23,68.05,0
482,-162.2,62.71,0
483,-162.19,68.93,0
484,-162.17,69.52,0
485,-162.08,65.48,0
486,-162.01,65.76,0
487,-161.94,68.49,0
488,-161.79,60.73,0
489,-161.76,59.82,0
490,-161.75,61.72,0
491,-161.71,62.45,0
492,-161.67,68.55,0
493,-161.66,67.17,0
494,-161.62,69.23,0
495,-161.53,61.41,0
496,-161.49,68.89,0
497,-161.41,69.71,0
498,-161.40,67.80,0
499,-161.37,65.78,0
500,-161.35,65.38,0
501,-161.24,69.16,0
502,-161.24,68.40,0
503,-161.21,59.74,0
504,-161.18,60.35,0
505,-161.14,69.45,0
506,-161.11,62.39,0
507,-161.01,67.19,0
508,-160.99,62.02,0
509,-160.97,59.44,0
510,-160.91,65.3,0
511,-160.87,61.3,0
512,-160.85,65.60,0
513,-160.83,60.57,0
514,-160.81,69.03,0
515,-160.69,61.82,0
516,-160.69,66.07,0
517,-160.68,67.62,0
518,-160.63,60.07,0
519,-160.60,62.77,0
520,-160.56,64.29,0
521,-160.51,68.25,0
522,-160.49,64.97,0
523,-160.47,60.66,0
524,-160.45,60.5,0
525,-160.44,69.66,0
526,-160.39,67.13,0
527,-160.38,61.43,0
528,-160.31,59.55,0
529,-160.29,62.48,0
530,-160.26,63.90,0
531,-160.24,65.19,0
532,-160.23,66.52,0
533,-160.22,62.05,0
534,-160.19,69.41,0
535,-160.10,67.51,0
536,-160.04,63.20,0
537,-160.03,60.04,0
538,-159.97,64.11,0
539,-159.92,68.46,0
540,-159.90,59.30,0
541,-159.88,60.48,0
542,-159.81,61.11,0
543,-159.77,62.44,0
544,-159.76,65.10,0
545,-159.74,65.94,0
546,-159.67,67.97,0
547,-159.65,56.28,0
548,-159.63,63.61,0
549,-159.63,70.29,0
550,-159.58,67.32,0
551,-159.50,69.03,0
552,-159.46,64.38,0
553,-159.43,60.62,0
554,-159.36,59.80,0
