,X_WGS84,Y_WGS84,boucur
65,-73.962576,40.69919,1
66,-99.743797,39.434713,1
67,-88.315238,42.194848,1
68,-90.677106,42.515257,1
69,-87.895401,43.030463,1
70,-95.917534,41.23864,1
71,-89.787149,44.177187,1
72,-93.475748,44.819445,1
73,-96.766117,40.678043,1
74,-96.548721,28.959346,1
75,-101.131311,31.149519,1
76,-100.001724,32.476469,1
77,-95.210312,29.554855,1
78,-83.03568,40.06087,1
79,-82.923136,39.951964,1
80,-100.462012,29.601335,1
81,-95.452742,29.766044,1
82,-100.417175,30.140683,1
83,-98.484102,31.048315,1
84,-98.130422,30.920572,1
85,-98.358501,29.677435,1
86,-94.002456,36.156814,1
87,-99.720084,35.750662,1
88,-100.734691,31.184067,1
89,-98.499679,29.860487,1
90,-90.26846,42.242712,1
91,-98.818725,30.49695,1
92,-97.590541,33.407732,1
93,-97.683088,30.641328,1
94,-104.852625,39.798687,1
95,-98.108333,28.973611,1
96,-103.664191,30.371876,1
97,-88.407399,42.031974,1
98,-104.291985,39.213638,1
99,-97.442061,40.338973,1
100,-96.872093,39.167316,1
101,-100.355914,34.117319,1
102,-97.312593,32.916314,1
103,-104.961468,39.732207,1
104,-99.760814,30.486436,1
105,-99.593042,49.837514,1
106,-97.823153,30.695691,1
107,-107.429385,45.567418,1
108,-96.745922,32.577345,1
109,-98.318298,29.973533,1
110,-93.079339,45.021807,1
111,-94.025738,41.355443,1
112,-88.296417,41.973726,1
113,-98.923123,29.880576,1
114,-101.098456,34.444786,1
115,-99.321167,30.070139,1
116,-112.821043,33.907268,1
117,-115.29,35.27,1
118,-101.49073,32.231395,1
119,-104.28717,32.456387,1
120,-106.685518,35.131024,1
121,-103.388808,29.234812,1
122,-104.479628,37.007642,1
123,-103.779744,41.741617,1
124,-110.729042,31.551555,1
125,-103.370632,34.176247,1
126,-107.603158,33.372419,1
127,-107.178679,32.166196,1
128,-105.002444,36.925028,1
129,-104.33072,39.51983,1
130,-102.92494,39.81497,1
131,-108.648507,38.795467,1
132,-102.54286,39.75065,1
133,-102.36806,39.51861,1
134,-103.889425,38.284556,1
135,-103.50611,38.715,1
136,-102.98444,39.28472,1
137,-108.9018,38.190043,1
138,-103.810163,39.36411,1
139,-102.15194,39.32056,1
140,-107.88055,37.20299,1
141,-104.752757,39.391376,1
142,-103.43028,38.92306,1
143,-102.60465,39.44856,1
144,-103.356391,39.038275,1
145,-102.501344,39.49732,1
146,-108.700656,39.10081,1
147,-105.211657,40.030813,1
148,-103.616351,37.049601,1
149,-104.966462,38.530864,1
150,-104.901052,39.039613,1
151,-102.617144,37.366682,1
152,-102.784969,38.407938,1
153,-105.198869,39.900515,1
154,-103.344707,40.87305,1
155,-103.446846,37.00227,1
156,-102.937126,38.057635,1
157,-113.8164,35.1836,1
158,-106.056253,35.6199,1
159,-107.597186,32.087083,1
160,-99.976862,29.866952,1
161,-98.515434,30.157913,1
162,-105.871558,32.944828,1
163,-106.382741,35.075438,1
164,-106.471007,35.15258,1
165,-98.706262,29.497502,1
166,-97.351755,38.157935,1
167,-99.755486,34.101667,1
168,-98.732183,34.727581,1
169,-112.363771,34.162642,1
170,-100.831512,46.831245,1
171,-90.191433,38.15793,1
172,-97.977949,29.864125,1
173,-107.405619,33.215183,1
174,-110.921347,32.23915,1
175,-101.603221,43.256336,1
176,-111.147118,32.273256,1
177,-98.202325,32.238378,1
178,-89.455309,40.732994,1
179,-97.168273,33.146306,1
180,-98.468945,29.647631,1
181,-97.319109,32.52652,1
182,-79.681199,43.364448,1
183,-95.779,37.2573,1
184,-94.73302,37.61932,1
185,-94.77742,37.38922,1
186,-94.90869,37.28572,1
187,-96.471969,33.380022,1
188,-100.267867,46.690212,1
189,-97.51983,31.288205,1
190,-89.384421,43.151005,1
191,-98.031075,30.137244,1
192,-97.47554,32.833306,1
193,-97.267395,31.578459,1
194,-104.8542,38.9157,1
195,-107.681996,32.909006,1
196,-90.18004,43.151672,1
197,-107.398733,32.458359,1
198,-104.101074,30.705965,1
199,-98.6539,30.0167,1
200,-101.19748,30.712008,1
201,-107.027261,32.809097,1
202,-106.575827,35.121597,1
203,-93.839958,36.498212,1
204,-87.862125,41.771995,1
205,-99.028681,31.85723,1
206,-97.435733,32.328143,1
207,-105.988434,35.709074,1
208,-105.053742,39.454595,1
209,-83.709376,42.281762,1
210,-85.4138,34.129367,1
211,-105.228118,40.424059,1
212,-98.39532,30.277524,1
213,-97.46879,35.51664,1
214,-98.425165,35.93563,1
215,-89.328393,41.845494,1
216,-97.933672,30.640374,1
217,-97.866517,30.181112,1
218,-104.675025,47.062892,1
219,-109.755853,34.93255,1
220,-99.227058,30.74188,1
221,-96.349525,33.133236,1
222,-98.246015,31.111738,1
223,-101.746987,33.256774,1
224,-93.030197,44.789571,1
225,-98.617091,31.27264,1
226,-98.331019,29.552159,1
227,-98.709097,46.93031,1
228,-89.439547,37.586571,1
229,-92.924896,44.452158,1
230,-97.287092,37.557523,1
231,-104.45875,32.18318,1
232,-96.705452,32.703581,1
233,-97.942101,30.250397,1
234,-89.853059,40.153232,1
235,-97.8619,32.215425,1
236,-93.354957,45.174658,1
237,-87.955225,42.480404,1
238,-116.5396,32.91888,1
239,-105.469966,32.460206,1
240,-97.891807,30.338756,1
241,-107.192977,33.573067,1
242,-104.838193,38.822663,1
243,-89.442324,43.233365,1
244,-98.035748,32.822723,1
245,-101.106049,33.049599,1
246,-96.599349,33.647069,1
247,-96.600738,39.107783,1
248,-93.032469,44.501408,1
249,-107.092138,34.070836,1
250,-88.205091,40.081154,1
251,-96.931113,31.585003,1
252,-94.087503,44.158873,1
253,-102.168105,45.675987,1
254,-116.4567,33.585,1
255,-98.150321,31.026912,1
256,-94.550707,32.438032,1
257,-88.211607,41.249428,1
258,-99.92215,37.812294,1
259,-104.070367,35.092261,1
260,-101.413238,33.186355,1
261,-105.879058,31.826638,1
262,-105.55024,32.524977,1
263,-97.263784,37.745459,1
264,-103.46727,29.491787,1
265,-96.64929,33.26032,1
266,-109.865977,34.815242,1
267,-97.01772,33.37858,1
268,-95.100423,43.781175,1
269,-101.96105,33.597357,1
270,-97.094151,36.331122,1
271,-106.618605,35.207897,1
272,-105.743933,32.943092,1
273,-95.817453,39.05277,1
274,-100.000253,37.45013,1
275,-100.754228,37.142825,1
276,-103.482711,43.622319,1
277,-86.024563,39.975924,1
278,-89.876095,43.69424,1
279,-98.126525,29.162447,1
280,-84.785443,39.205701,1
281,-95.922103,29.9316,1
282,-93.939292,41.230275,1
283,-96.830146,41.270061,1
284,-93.325297,37.170922,1
285,-98.090905,28.686466,1
286,-90.396714,38.661255,1
287,-118.094828,33.750017,1
288,-98.425752,30.103931,1
289,-99.89661,39.538442,1
290,-108.844086,32.626998,1
291,-98.367988,30.742263,1
292,-97.593857,30.311161,1
