,X_WGS84,Y_WGS84,potarg
92,-88.169929,41.738951,1
93,-89.515006,46.654623,1
94,-93.12674,44.634151,1
95,-87.971648,40.368193,1
96,-89.383427,46.660187,1
97,-115.99635,55.411876,1
98,-86.951553,46.045429,1
99,-86.470312,46.336435,1
100,-91.930513,44.259092,1
101,-106.4064,39.68027,1
102,-106.6458,39.58633,1
103,-105.48879,39.79918,1
104,-107.41434,38.44971,1
105,-107.24338,38.38331,1
106,-107.309397,38.923086,1
107,-106.77263,40.77269,1
108,-104.80044,38.95265,1
109,-105.197015,40.591792,1
110,-105.469733,39.60165,1
111,-104.740437,39.096525,1
112,-105.525558,40.194423,1
113,-105.428402,39.931062,1
114,-104.663168,39.023037,1
115,-105.216382,39.900754,1
116,-88.811205,39.543905,1
117,-112.380273,47.086097,1
118,-89.047786,42.423996,1
119,-88.120017,42.21363,1
120,-87.564438,41.665517,1
121,-87.754913,41.698484,1
122,-87.632012,41.962863,1
123,-88.312391,41.711182,1
124,-88.008868,42.356226,1
125,-73.849642,42.712191,1
126,-79.32719,43.629379,1
127,-77.755792,44.377394,1
128,-88.126485,49.354759,1
129,-89.540896,48.143594,1
130,-80.347088,43.042303,1
131,-115.9323,44.92263,1
132,-76.724824,44.270364,1
133,-77.530637,44.4449,1
134,-99.213513,41.847772,1
135,-98.671152,34.699133,1
136,-78.334687,45.621802,1
137,-113.05243,53.814167,1
138,-96.230439,46.288097,1
139,-116.488231,46.757055,1
140,-114.059771,49.340916,1
141,-92.799764,44.53785,1
142,-93.128808,44.778695,1
143,-94.608192,47.029992,1
144,-73.816746,43.515595,1
145,-114.854808,51.052186,1
146,-137.519319,60.750653,1
147,-127.106842,54.772658,1
148,-91.183199,43.091041,1
149,-89.771548,40.522667,1
150,-91.017867,42.734058,1
151,-89.877103,43.694981,1
152,-104.8181,49.255478,1
153,-88.035882,42.925298,1
154,-87.788864,42.14174,1
155,-87.999966,42.472566,1
156,-94.390559,45.593498,1
157,-135.026225,60.661583,1
158,-114.101593,51.095102,1
159,-89.831288,44.256453,1
160,-104.809829,54.192529,1
161,-93.37276,44.841951,1
162,-89.510602,41.648816,1
163,-91.294144,47.300387,1
164,-91.834142,44.866039,1
165,-112.337622,49.250397,1
166,-91.409395,43.95752,1
167,-88.075819,40.527076,1
168,-95.213908,49.746118,1
169,-112.206453,42.880628,1
170,-100.042586,50.667258,1
171,-112.57683,52.598712,1
172,-89.027188,43.82276,1
173,-94.148972,45.547141,1
174,-96.03125,43.936742,1
175,-92.211032,47.817805,1
176,-92.83112,45.567124,1
177,-88.60568,42.837123,1
178,-94.042826,47.405078,1
179,-96.28013,45.230649,1
180,-95.492552,44.781965,1
181,-96.572771,48.695736,1
182,-95.748006,45.810665,1
183,-94.281709,46.305464,1
184,-96.472807,46.753939,1
185,-95.049967,44.086452,1
186,-92.778893,44.996781,1
187,-93.480441,47.217554,1
188,-96.437023,44.680542,1
189,-93.678267,43.724343,1
190,-94.149118,45.694726,1
191,-95.019606,45.260622,1
192,-95.024431,43.652398,1
193,-93.591595,44.751082,1
194,-95.970678,44.372537,1
195,-96.155644,45.314294,1
196,-95.180237,47.232294,1
197,-92.498355,46.425165,1
198,-93.17487,44.959561,1
199,-87.815592,42.502854,1
200,-134.638978,60.173644,1
201,-87.859921,41.756872,1
202,-90.869052,47.554491,1
203,-89.870346,42.952156,1
204,-89.759358,44.349375,1
205,-81.176679,43.107492,1
206,-80.299263,43.161027,1
207,-88.539634,48.108864,1
208,-84.9319,46.093756,1
209,-88.274932,40.980754,1
210,-92.47855,35.29504,1
211,-134.881789,60.594628,1
212,-93.174517,48.627701,1
213,-97.562417,50.865444,1
214,-94.35798,45.47343,1
215,-114.032073,49.134967,1
216,-92.101148,44.397792,1
217,-87.614274,45.107763,1
218,-83.373309,42.399562,1
219,-87.892441,47.468857,1
220,-88.102756,47.448082,1
221,-87.395417,46.543544,1
222,-84.692477,45.618613,1
223,-89.707588,46.700727,1
224,-88.56731,47.10892,1
225,-85.564925,45.700393,1
226,-83.74067,42.509905,1
227,-88.266962,47.377415,1
228,-120.33,50.38,1
229,-122.49,52.98,1
230,-116.55,49.18,1
231,-120.51,49.46,1
232,-123.04,51.72,1
233,-121.95,51.25,1
234,-120.14,55.72,1
235,-120.32,50.67,1
236,-115.62,49.82,1
237,-119.59,49.07,1
238,-133.78,59.58,1
