,X_WGS84,Y_WGS84,verstr
650,-162.81,61.35,0
651,-162.74,68.92,0
652,-162.51,61.03,0
653,-162.4,61.95,0
654,-162.36,67.32,0
655,-162.2,62.71,0
656,-162.17,69.52,0
657,-161.94,68.49,0
658,-161.79,60.73,0
659,-161.75,61.72,0
660,-161.25,68.5,0
661,-161.21,59.74,0
662,-161.18,60.35,0
663,-161.14,69.45,0
664,-160.99,62.02,0
665,-160.91,65.3,0
666,-160.87,61.3,0
667,-160.68,67.62,0
668,-160.45,63.17,0
669,-160.23,66.52,0
670,-160.19,69.41,0
671,-160.03,60.04,0
672,-159.92,68.46,0
673,-159.81,61.11,0
674,-159.77,62.44,0
675,-159.65,56.28,0
676,-159.59,66.45,0
677,-159.58,67.32,0
678,-159.46,64.38,0
679,-159.35,65.64,0
680,-159.31,60.46,0
681,-159.27,63.09,0
682,-159.24,59.28,0
683,-159.12,70.02,0
684,-159.08,68,0
685,-159.04,61.5,0
686,-158.88,69.2,0
687,-158.85,56.5,0
688,-158.55,67.51,0
689,-158.51,59.93,0
690,-158.47,62.71,0
691,-158.4,69.75,0
692,-158.25,66.55,0
693,-158.17,60.73,0
694,-158.05,68.8,0
695,-157.9,65.56,0
696,-157.86,56.96,0
697,-157.83,59.4,0
698,-157.75,70.21,0
699,-157.6,60.12,0
700,-157.52,65.07,0
701,-157.45,68.08,0
702,-157.33,61.38,0
703,-157.14,67.39,0
704,-157.1,65.83,0
705,-157.1,63.28,0
706,-157.07,69.22,0
707,-156.99,62.37,0
708,-156.91,66.78,0
709,-156.84,59.36,0
710,-156.76,64.33,0
711,-156.65,60.27,0
712,-156.57,58.26,0
713,-156.53,61.19,0
714,-156.34,70.17,0
715,-156.3,62.94,0
716,-156.27,58.9,0
717,-156.23,65.37,0
718,-156.15,68.84,0
719,-156.08,58.29,0
720,-156.06,59.85,0
721,-156,66.06,0
722,-155.85,62.4,0
723,-155.66,61.74,0
724,-155.66,66.59,0
725,-155.58,63.24,0
726,-155.5,65.49,0
727,-155.43,67.51,0
728,-155.43,69.79,0
729,-155.39,64.38,0
730,-155.35,60.65,0
731,-155.16,59.93,0
732,-154.97,58.64,0
733,-154.86,65.18,0
734,-154.63,63.43,0
735,-154.55,68.15,0
736,-154.48,61.57,0
737,-154.33,64.09,0
738,-154.25,69.98,0
739,-154.17,63.01,0
740,-153.91,68.92,0
741,-153.87,65.87,0
742,-153.79,64.77,0
743,-153.75,66.59,0
744,-153.71,62.33,0
745,-153.68,61.49,0
746,-153.52,60.62,0
747,-153.3,65.53,0
748,-153.26,63.36,0
749,-153.26,67.13,0
750,-153.22,68.53,0
751,-153.14,70.29,0
752,-152.95,61.53,0
753,-152.72,69.6,0
754,-152.65,66.86,0
755,-152.57,64.69,0
756,-152.57,61.07,0
757,-152.53,65.79,0
758,-152.42,63.43,0
759,-152.31,61.91,0
760,-152,69.14,0
761,-151.93,63.93,0
762,-151.89,61.26,0
763,-151.85,66.75,0
764,-151.66,62.33,0
765,-151.47,68.34,0
766,-151.35,66.13,0
767,-151.28,69.75,0
768,-151.24,64.46,0
769,-151.192595,63.114803,0
770,-151.05,67.62,0
771,-151.01,61.68,0
772,-150.94,66.44,0
773,-150.86,66.82,0
774,-150.67,69.37,0
775,-150.63,62.86,0
776,-150.52,65.79,0
777,-150.48,68.61,0
778,-150.4,61.8,0
779,-150.17,64.23,0
780,-150.06,67.16,0
781,-150.02,65.15,0
