,X_WGS84,Y_WGS84,schsco
338,-96.367545,30.571385,1
339,-106.641128,35.19268,1
340,-89.813263,33.772278,1
341,-78.142623,34.414921,1
342,-97.606638,33.307487,1
343,-91.224533,36.317683,1
344,-95.281657,30.023304,1
345,-97.468239,35.518347,1
346,-90.08202,40.355056,1
347,-74.643748,40.666709,1
348,-73.96228,40.738797,1
349,-95.991172,36.066239,1
350,-88.614103,40.746612,1
351,-89.844812,40.150925,1
352,-99.497161,30.060683,1
353,-94.942724,29.455109,1
354,-97.811806,32.249133,1
355,-97.93285,30.639745,1
356,-75.230198,40.070366,1
357,-77.256834,40.091475,1
358,-99.016555,30.224665,1
359,-96.653299,32.329666,1
360,-94.953894,29.794978,1
361,-81.571083,35.990095,1
362,-98.818112,29.829957,1
363,-98.808962,30.104678,1
364,-84.088493,42.207751,1
365,-98.127049,30.920647,1
366,-96.985868,30.722059,1
367,-98.038296,32.833367,1
368,-98.296668,32.640675,1
369,-98.23261,32.110886,1
370,-88.02348,42.459124,1
371,-96.351782,41.222311,1
372,-96.237268,28.871529,1
373,-96.995959,28.17628,1
374,-88.417383,43.110713,1
375,-99.812439,30.438722,1
376,-81.689117,45.253833,1
377,-87.285897,36.921422,1
378,-104.27165,39.019288,1
379,-75.660656,35.873362,1
380,-79.172613,36.135436,1
381,-98.655997,30.013781,1
382,-98.922389,29.879556,1
383,-79.496453,39.863472,1
384,-84.801289,36.564453,1
385,-79.836717,43.173653,1
386,-89.928733,42.844758,1
387,-92.222192,42.808433,1
388,-96.347984,33.133662,1
389,-103.000201,42.797455,1
390,-95.601563,29.898187,1
391,-72.697601,41.414731,1
392,-92.791327,44.925059,1
393,-94.131153,37.416556,1
394,-103.384952,46.89575,1
395,-85.548225,44.743562,1
396,-96.764761,30.814043,1
397,-96.326289,44.014431,1
398,-88.926361,40.504261,1
399,-79.553875,33.197625,1
400,-91.996108,38.950008,1
401,-70.548667,41.922262,1
402,-90.77207,43.427603,1
403,-101.530691,40.443839,1
404,-96.29767,33.272237,1
405,-99.750633,32.373872,1
406,-79.062923,35.953682,1
407,-77.534713,38.832623,1
408,-73.890041,40.900657,1
409,-93.939172,41.230266,1
410,-79.667586,43.691558,1
411,-84.650733,36.397888,1
412,-71.977614,43.393295,1
413,-84.053949,39.632034,1
414,-88.169141,41.259911,1
415,-94.299697,35.985713,1
416,-72.030494,42.391681,1
417,-71.697028,43.414745,1
418,-81.59153,44.293775,1
419,-70.796357,42.741163,1
420,-79.975267,35.317355,1
421,-73.307423,40.886022,1
422,-77.242592,38.703353,1
423,-95.893547,40.697388,1
424,-73.247995,44.491362,1
425,-98.219155,40.902045,1
426,-94.466667,34.666667,1
427,-74.730513,39.081581,1
428,-72.241554,42.299696,1
429,-104.838299,38.822641,1
430,-89.444241,43.233135,1
431,-77.820735,44.131204,1
432,-91.922931,44.260169,1
433,-92.315697,34.974462,1
434,-84.937303,36.10875,1
435,-101.943265,33.065503,1
436,-82.399402,42.529375,1
437,-90.2285,43.194153,1
438,-96.97958,33.06209,1
439,-94.08863,44.158792,1
440,-93.839128,36.498608,1
441,-82.073731,46.225762,1
442,-73.898575,42.705422,1
443,-96.67129,33.057699,1
444,-97.504821,35.687987,1
445,-90.357734,40.80209,1
446,-87.208908,35.12187,1
447,-86.953876,36.687556,1
448,-73.143991,40.940978,1
449,-104.846665,39.84099,1
450,-102.611558,33.349362,1
451,-101.389947,33.324805,1
452,-100.749175,48.12305,1
453,-85.254945,35.876153,1
454,-104.767813,38.25687,1
455,-95.865141,45.067269,1
456,-93.293144,44.985549,1
457,-102.398262,43.870874,1
458,-85.434039,35.444527,1
459,-97.663932,33.117107,1
460,-97.022546,33.383016,1
461,-86.113228,35.420747,1
462,-97.218995,30.244432,1
463,-96.864026,33.196309,1
464,-88.052636,36.783531,1
465,-90.060354,43.201404,1
466,-94.172678,36.362708,1
467,-82.734497,45.789555,1
468,-81.575347,45.190028,1
469,-97.412767,31.172883,1
470,-104.644547,38.860214,1
471,-105.297461,40.071898,1
472,-105.046244,39.651586,1
473,-70.548403,41.658463,1
474,-79.431698,35.924935,1
475,-96.957159,32.63762,1
476,-103.727088,42.41703,1
477,-103.699428,41.835008,1
478,-88.093625,41.814938,1
479,-97.448082,50.076569,1
480,-87.488197,35.526642,1
481,-98.386387,29.743782,1
482,-100.018036,42.781259,1
483,-75.051269,38.4691,1
484,-88.204937,40.405468,1
485,-104.809786,49.256268,1
486,-88.732362,41.822595,1
487,-103.532853,46.93388,1
488,-89.77125,40.522982,1
489,-97.934605,31.10506,1
490,-79.491967,44.121217,1
491,-70.177412,41.290605,1
492,-88.356562,41.865221,1
493,-89.099885,42.493872,1
494,-94.913528,29.222855,1
495,-96.616388,33.161879,1
496,-77.732714,44.005277,1
497,-80.309535,35.46141,1
