,X_WGS84,Y_WGS84,ascspe
92,-105.511772,44.265135,1
93,-96.409379,47.608439,1
94,-118.241137,42.332084,1
95,-105.136467,39.964592,1
96,-122.126153,37.818837,1
97,-117.149607,46.871977,1
98,-96.688197,44.163832,1
99,-119.844038,39.492142,1
100,-110.625286,50.019701,1
101,-107.447533,39.581222,1
102,-94.944083,45.252363,1
103,-97.253049,45.421662,1
104,-119.378575,50.087774,1
105,-120.19077,48.518824,1
106,-108.669343,47.757243,1
107,-100.885072,40.234479,1
108,-107.748558,38.189862,1
109,-123.202033,44.102697,1
110,-104.839367,39.611861,1
111,-111.308372,47.517975,1
112,-107.253463,38.960337,1
113,-111.660816,35.235194,1
114,-122.052427,36.973232,1
115,-104.715197,38.704757,1
116,-108.071593,38.77492,1
117,-112.270478,43.952347,1
118,-105.222153,39.897615,1
119,-105.842783,38.406571,1
120,-102.27689,40.583521,1
121,-123.08068,39.093262,1
122,-103.676846,39.265102,1
123,-110.090897,48.900355,1
124,-123.085099,44.01534,1
125,-101.439178,47.346067,1
126,-119.138393,50.552458,1
127,-104.99588,38.046872,1
128,-104.700012,39.576438,1
129,-111.568981,38.494882,1
130,-119.83307,42.392373,1
131,-119.542555,37.300187,1
132,-101.765899,40.098283,1
133,-111.782401,40.411904,1
134,-100.304008,47.169853,1
135,-111.884063,40.361483,1
136,-104.600862,38.258666,1
137,-109.721283,40.930217,1
138,-106.786877,39.637671,1
139,-104.795386,40.310576,1
140,-104.97258,39.789045,1
141,-109.332016,44.480496,1
142,-123.266638,44.184995,1
143,-112.85369,49.645325,1
144,-117.50992,47.779858,1
145,-104.883756,40.446517,1
146,-111.752045,40.693987,1
147,-122.711294,45.385892,1
148,-122.839425,39.467817,1
149,-111.408883,38.298938,1
150,-105.643822,32.95647,1
151,-104.677107,40.719833,1
152,-118.41439,46.029097,1
153,-122.603508,38.242754,1
154,-123.663208,42.15712,1
155,-123.015586,44.787865,1
156,-117.410748,45.953459,1
157,-105.360736,39.84795,1
158,-104.697968,41.127599,1
159,-108.750135,39.226798,1
160,-107.416672,45.525903,1
161,-105.795425,36.265403,1
162,-116.599035,43.33962,1
163,-104.608886,38.841226,1
164,-123.474147,41.379341,1
165,-98.914238,40.660642,1
166,-119.697503,45.847647,1
167,-120.319195,47.443564,1
168,-117.670215,47.788779,1
169,-105.098681,39.803874,1
170,-119.739026,38.894189,1
171,-119.622248,49.840265,1
172,-110.566952,45.660974,1
173,-100.09281,49.665153,1
174,-93.159184,44.942962,1
175,-119.314057,48.839376,1
176,-104.767886,39.735874,1
177,-117.372854,48.653164,1
178,-98.286852,49.970159,1
179,-96.995022,50.528277,1
180,-108.839152,50.068618,1
181,-117.354067,47.926747,1
182,-115.301281,42.948988,1
183,-111.70907,33.36321,1
184,-107.630695,49.715208,1
185,-122.008786,49.096772,1
186,-101.787569,39.644382,1
187,-113.487999,53.52495,1
188,-118.069984,45.332287,1
189,-105.232952,39.754831,1
190,-105.34368,40.075818,1
191,-104.969512,39.581814,1
192,-122.407769,45.536741,1
193,-114.160712,46.26335,1
194,-100.332206,44.392085,1
195,-111.672809,41.039823,1
196,-116.343031,43.940518,1
197,-121.261166,44.09145,1
198,-108.212795,43.649995,1
199,-97.749644,37.755227,1
200,-105.067228,40.300368,1
201,-121.225561,51.811554,1
202,-111.824665,41.684621,1
203,-120.511313,47.535899,1
204,-114.507214,42.568934,1
205,-119.36709,46.302506,1
206,-105.12225,40.176886,1
207,-112.527387,46.009543,1
208,-122.301565,47.405446,1
209,-122.869458,45.849022,1
210,-114.00998,51.045446,1
211,-105.360219,39.667915,1
212,-106.344652,42.84573,1
213,-115.310899,47.566378,1
214,-103.679582,44.298631,1
215,-112.07829,41.081422,1
216,-103.670307,41.834753,1
217,-121.280227,50.72287,1
218,-116.576942,43.601145,1
219,-108.260297,50.37049,1
220,-118.848898,39.432622,1
221,-112.282405,40.523154,1
222,-95.823484,41.20383,1
223,-122.460452,38.282329,1
224,-116.82644,47.718971,1
225,-89.589037,44.580764,1
226,-119.2602,47.116526,1
227,-120.777403,50.106155,1
228,-117.607062,46.472277,1
229,-102.780165,38.484493,1
230,-103.616983,48.202263,1
231,-122.573735,45.440533,1
232,-115.08276,48.890929,1
233,-88.009647,42.137224,1
234,-109.49207,40.476706,1
235,-121.456795,41.110398,1
236,-111.431531,41.928263,1
237,-85.470787,43.216226,1
238,-106.428525,48.012914,1
239,-104.849871,39.401907,1
240,-122.666082,45.669056,1
241,-89.187556,43.1904,1
242,-122.077981,37.087016,1
243,-83.355777,42.638867,1
244,-89.016377,42.658853,1
245,-120.589611,38.616117,1
246,-88.211664,41.821721,1
247,-104.759216,40.441069,1
248,-120.507,46.693979,1
249,-112.16698,40.925386,1
250,-116.592029,43.69803,1
251,-116.106208,43.479038,1
252,-113.395592,39.84977,1
253,-112.25113,41.048113,1
254,-117.36553,44.495858,1
255,-112.007767,40.57771,1
256,-115.073372,42.94018,1
257,-122.990465,45.500762,1
258,-106.687683,35.120006,1
259,-116.506308,45.5572,1
260,-118.400279,37.375958,1
261,-112.093383,41.290114,1
262,-106.646206,36.337862,1
263,-122.94504,38.648131,1
264,-121.2452,39.363883,1
265,-104.856029,39.81999,1
266,-110.113791,39.157835,1
267,-119.218779,50.255963,1
268,-118.036036,37.260008,1
269,-122.258775,37.879917,1
