,X_WGS84,Y_WGS84,liaasp
467,-157.33,61.38,0
468,-157.14,67.39,0
469,-157.1,65.83,0
470,-157.07,69.22,0
471,-156.99,62.37,0
472,-156.91,66.78,0
473,-156.84,59.36,0
474,-156.84,57.42,0
475,-156.76,64.33,0
476,-156.65,60.27,0
477,-156.57,58.26,0
478,-156.53,61.19,0
479,-156.34,70.17,0
480,-156.3,62.94,0
481,-156.27,58.9,0
482,-156.23,65.37,0
483,-156.15,68.84,0
484,-156.08,58.29,0
485,-156.06,59.85,0
486,-156,66.06,0
487,-155.85,62.4,0
488,-155.66,61.74,0
489,-155.66,66.59,0
490,-155.58,63.24,0
491,-155.5,65.49,0
492,-155.43,67.51,0
493,-155.43,69.79,0
494,-155.39,64.38,0
495,-155.35,60.65,0
496,-155.16,59.93,0
497,-154.97,58.64,0
498,-154.86,65.18,0
499,-154.63,63.43,0
500,-154.55,68.15,0
501,-154.48,61.57,0
502,-154.33,64.09,0
503,-154.25,69.98,0
504,-154.17,63.01,0
505,-153.91,68.92,0
506,-153.87,65.87,0
507,-153.79,64.77,0
508,-153.75,66.59,0
509,-153.71,62.33,0
510,-153.68,61.49,0
511,-153.52,60.62,0
512,-153.3,65.53,0
513,-153.26,63.36,0
514,-153.26,67.13,0
515,-153.22,68.53,0
516,-153.14,70.29,0
517,-152.95,61.53,0
518,-152.72,69.6,0
519,-152.65,66.86,0
520,-152.57,64.69,0
521,-152.57,61.07,0
522,-152.53,65.79,0
523,-152.42,63.43,0
524,-152.31,61.91,0
525,-152,69.14,0
526,-151.93,63.93,0
527,-151.89,61.26,0
528,-151.85,66.75,0
529,-151.66,62.33,0
530,-151.47,68.34,0
531,-151.35,66.13,0
532,-151.28,69.75,0
533,-151.24,64.46,0
534,-151.192595,63.114803,0
535,-151.05,67.62,0
536,-151.01,61.68,0
537,-150.94,66.44,0
538,-150.86,66.82,0
539,-150.67,69.37,0
540,-150.63,62.86,0
541,-150.52,65.79,0
542,-150.48,68.61,0
543,-150.4,61.8,0
544,-150.17,64.23,0
545,-150.06,67.16,0
546,-150.02,65.15,0
547,-149.95,62.29,0
548,-149.87,69.45,0
549,-149.79,69.94,0
550,-149.64,68.99,0
551,-149.6,63.47,0
552,-149.53,68.15,0
553,-149.49,61.83,0
554,-149.45,62.67,0
555,-149.34,65.87,0
556,-149.23,67.63,0
557,-149.11,69.45,0
558,-148.73,62.33,0
559,-148.54,63.55,0
560,-148.46,66.29,0
561,-148.439042,61.788505,0
562,-148.42,67.13,0
563,-148.27,64.88,0
564,-148.08,69.26,0
565,-147.89,68.15,0
566,-147.74,62.06,0
567,-147.62,65.83,0
568,-147.59,69.07,0
569,-147.47,66.63,0
570,-147.43,63.51,0
571,-147.39,67.66,0
572,-147.13,62.56,0
573,-146.94,61.95,0
574,-146.79,65.49,0
575,-146.63,68,0
576,-146.56,69.35,0
577,-146.37,63.2,0
578,-146.37,61.53,0
579,-146.33,65.87,0
580,-146.25,67.01,0
581,-146.155564,64.256775,0
582,-145.644103,64.148606,0
583,-145.53,64.92,0
584,-145.49,68.42,0
585,-145.42,63.47,0
586,-145.347038,61.95071,0
587,-145.26,61.34,0
588,-145.156578,66.920676,0
589,-145.151818,66.7229,0
590,-144.84,65.22,0
591,-144.77,69.26,0
592,-144.69,65.87,0
593,-144.65,67.7,0
594,-144.65,63.05,0
595,-144.58,68.65,0
596,-144.332108,61.521197,0
597,-144.2,66.97,0
598,-144.12,63.89,0
599,-144.04,64.96,0
600,-143.89,60.73,0
601,-143.85,69.45,0
602,-143.78,67.05,0
603,-143.78,62.33,0
604,-143.4,67.7,0
605,-143.36,62.71,0
606,-143.32,61.68,0
607,-143.28,66.21,0
608,-143.25,68.69,0
609,-143.17,69.45,0
610,-142.9,61.07,0
611,-142.48,65.49,0
612,-142.47,61.5,0
613,-142.41,67.81,0
614,-142.24,69.04,0
