,X_WGS84,Y_WGS84,liapun
646,-156.23,65.37,0
647,-156.15,68.84,0
648,-156.08,58.29,0
649,-156.06,59.85,0
650,-156,66.06,0
651,-155.85,62.4,0
652,-155.66,61.74,0
653,-155.58,63.24,0
654,-155.5,65.49,0
655,-155.43,67.51,0
656,-155.43,69.79,0
657,-155.39,64.38,0
658,-155.35,60.65,0
659,-155.16,59.93,0
660,-154.97,58.64,0
661,-154.86,65.18,0
662,-154.63,63.43,0
663,-154.55,68.15,0
664,-154.48,61.57,0
665,-154.33,64.09,0
666,-154.25,69.98,0
667,-154.17,63.01,0
668,-153.91,68.92,0
669,-153.87,65.87,0
670,-153.79,64.77,0
671,-153.75,66.59,0
672,-153.71,62.33,0
673,-153.68,61.49,0
674,-153.52,60.62,0
675,-153.3,65.53,0
676,-153.26,63.36,0
677,-153.26,67.13,0
678,-153.22,68.53,0
679,-153.14,70.29,0
680,-152.95,61.53,0
681,-152.72,69.6,0
682,-152.65,66.86,0
683,-152.57,64.69,0
684,-152.57,61.07,0
685,-152.53,65.79,0
686,-152.42,63.43,0
687,-152.31,61.91,0
688,-152,69.14,0
689,-151.93,63.93,0
690,-151.89,61.26,0
691,-151.85,66.75,0
692,-151.66,62.33,0
693,-151.47,68.34,0
694,-151.35,66.13,0
695,-151.28,69.75,0
696,-151.24,64.46,0
697,-151.192595,63.114803,0
698,-151.05,67.62,0
699,-151.01,61.68,0
700,-150.94,66.44,0
701,-150.86,66.82,0
702,-150.67,69.37,0
703,-150.63,62.86,0
704,-150.52,65.79,0
705,-150.48,68.61,0
706,-150.4,61.8,0
707,-150.17,64.23,0
708,-150.06,67.16,0
709,-150.02,65.15,0
710,-149.95,62.29,0
711,-149.87,69.45,0
712,-149.79,69.94,0
713,-149.64,68.99,0
714,-149.64,66.63,0
715,-149.6,63.47,0
716,-149.53,68.15,0
717,-149.49,61.83,0
718,-149.45,62.67,0
719,-149.34,65.87,0
720,-149.23,67.63,0
721,-149.11,69.45,0
722,-148.73,62.33,0
723,-148.54,63.55,0
724,-148.46,66.29,0
725,-148.439042,61.788505,0
726,-148.42,67.13,0
727,-148.27,64.88,0
728,-148.27,62.79,0
729,-148.08,69.26,0
730,-147.89,68.15,0
731,-147.74,62.06,0
732,-147.62,65.83,0
733,-147.59,69.07,0
734,-147.47,66.63,0
735,-147.43,63.51,0
736,-147.39,67.66,0
737,-147.13,64.31,0
738,-146.94,61.95,0
739,-146.79,65.49,0
740,-146.63,68,0
741,-146.56,69.35,0
742,-146.37,61.53,0
743,-146.33,65.87,0
744,-146.25,67.01,0
745,-146.155564,64.256775,0
746,-145.644103,64.148606,0
747,-145.53,64.92,0
748,-145.49,68.42,0
749,-145.42,63.47,0
750,-145.42,62.56,0
751,-145.405272,62.038106,0
752,-145.26,61.34,0
753,-145.156578,66.920676,0
754,-145.151818,66.7229,0
755,-144.84,65.22,0
756,-144.77,69.26,0
757,-144.69,65.87,0
758,-144.65,67.7,0
759,-144.58,68.65,0
760,-144.332108,61.521197,0
761,-144.2,66.97,0
762,-144.12,63.89,0
763,-144.04,64.96,0
764,-143.89,60.73,0
765,-143.85,69.45,0
766,-143.78,67.05,0
767,-143.4,67.7,0
768,-143.36,62.71,0
769,-143.32,61.68,0
770,-143.28,66.21,0
771,-143.25,68.69,0
772,-143.17,69.45,0
773,-142.9,61.07,0
774,-142.83,62.25,0
775,-142.48,65.49,0
776,-142.47,61.5,0
777,-142.41,67.81,0
778,-142.24,69.04,0
779,-142.16,64.41,0
780,-142.14,66.78,0
781,-142.03,63.66,0
782,-141.99,62.02,0
783,-141.95,60.69,0
784,-141.8,65.76,0
785,-141.57,66.97,0
786,-141.42,68,0
787,-141.34,69.11,0
788,-141.3,64.73,0
789,-141,62.3,0
790,-140.62,66.52,0
791,-140.43,67.73,0
792,-140.35,63.47,0
793,-140.31,60.96,0
794,-140.2,64.57,0
795,-140.16,65.37,0
796,-140.15646,69.160935,0
797,-139.78,66.75,0
798,-139.74,62.4,0
799,-139.44,64.1,0
800,-139.415849,61.368095,0
