,X_WGS84,Y_WGS84,dalpur
247,-90.905,39.370556,1
248,-93.107778,38.210278,1
249,-91.054167,39.123333,1
250,-92.8757,36.6319,1
251,-93.20555,40.30527,1
252,-92.8375,37.809722,1
253,-92.856389,37.716667,1
254,-92.4823,39.4183,1
255,-94.334167,37.741944,1
256,-94.3821,38.9108,1
257,-104.525,39.738333,1
258,-90.833333,37.833333,1
259,-90.5568,38.3086,1
260,-92.7625,37.973611,1
261,-93.994444,38.008333,1
262,-93.640223,42.078648,1
263,-91.0467,37.0181,1
264,-90.992667,38.0695,1
265,-94.3933,39.1556,1
266,-90.5517,38.2018,1
267,-91.9775,37.92611,1
268,-90.444188,38.567193,1
269,-94.4628,37.1464,1
270,-94.8886,47.4458,1
271,-96.221111,44.359028,1
272,-91.2431,38.0533,1
273,-90.532917,37.963861,1
274,-92.451111,38.696389,1
275,-105.309722,42.414167,1
276,-99.2,43.966667,1
277,-90.8208,38.4667,1
278,-92.1183,39.3903,1
279,-93.8336,40.2567,1
280,-103.853361,43.739472,1
281,-92.323611,38.931667,1
282,-104.831934,38.285599,1
283,-88.4167,41.2833,1
284,-85,44,1
285,-87.346427,41.59337,1
286,-87.821185,42.584742,1
287,-88.4333,41.95,1
288,-88.242124,41.236271,1
289,-87.816313,41.829788,1
290,-87.83285,42.446132,1
291,-87.650052,41.850033,1
292,-87.9667,41.4333,1
293,-87.954784,41.797531,1
294,-87.610162,41.544077,1
295,-94.22234,43.10423,1
296,-96.56667,38.44028,1
297,-95.80001,37.83867,1
298,-95.92232,38.08755,1
299,-97.22454,38.37692,1
300,-94.92376,36.01953,1
301,-96.41333,38.52583,1
302,-95.57264,38.19839,1
303,-100.925426,38.691682,1
304,-96.98353,37.69686,1
305,-95.26382,39.35448,1
306,-97.34504,38.04668,1
307,-97.52057,37.21775,1
308,-96.03407,38.40464,1
309,-95.9586,38.54845,1
310,-95.50655,38.28077,1
311,-97.10639,38.16944,1
312,-92.483201,42.696974,1
313,-96.96877,29.29658,1
314,-112.467813,48.208022,1
315,-92.7639,35.9725,1
316,-88.03624,36.90159,1
317,-104.72625,38.79834,1
318,-112.842,49.6933,1
319,-113.630504,52.552188,1
320,-110.8669,49.2008,1
321,-110.1584,51.9188,1
322,-103.74432,44.75775,1
323,-97.5702,33.3375,1
324,-103.88375,41.54178,1
325,-103.38796,38.06655,1
326,-100.15978,40.88939,1
327,-102.47477,47.97722,1
328,-97.316516,32.787016,1
