,X_WGS84,Y_WGS84,rudhir
113,-75.891732,40.497272,1
114,-74.389684,40.680465,1
115,-79.398446,40.285251,1
116,-100.202042,51.26608,1
117,-96.67129,33.057699,1
118,-77.581412,45.43471,1
119,-76.475559,37.036174,1
120,-94.315863,35.704338,1
121,-94.028227,33.19015,1
122,-75.134383,45.314963,1
123,-86.007562,42.535296,1
124,-72.515152,42.772872,1
125,-72.941996,41.396134,1
126,-100.25238,50.821963,1
127,-90.32559,47.758787,1
128,-81.558136,43.761838,1
129,-74.23835,41.127492,1
130,-75.855117,45.273208,1
131,-87.417578,46.534794,1
132,-92.049697,43.58847,1
133,-85.361267,35.654232,1
134,-89.344147,41.907387,1
135,-74.061875,42.193787,1
136,-65.668787,47.627587,1
137,-78.599595,43.901437,1
138,-91.397025,44.917255,1
139,-65.75949,47.779483,1
140,-88.214787,43.133367,1
141,-80.925567,35.028503,1
142,-72.644038,42.744979,1
143,-93.623313,42.064086,1
144,-80.842709,44.068941,1
145,-89.607318,44.333141,1
146,-93.132915,36.245225,1
147,-82.747855,37.704487,1
148,-101.796359,50.917788,1
149,-105.440203,40.305878,1
150,-73.77112,45.347663,1
151,-62.089714,45.593705,1
152,-98.410187,29.23305,1
153,-77.441837,44.385532,1
154,-94.003512,44.265035,1
155,-75.555222,43.308905,1
156,-97.120649,49.80822,1
157,-76.07644,44.81917,1
158,-76.818778,38.646938,1
159,-73.816947,43.516122,1
160,-94.391477,45.593716,1
161,-94.136362,40.601312,1
162,-94.966548,33.102079,1
163,-105.496145,40.432613,1
164,-84.541455,38.933926,1
165,-93.17723,33.656109,1
166,-84.453857,33.910488,1
167,-105.385542,40.020814,1
168,-94.384362,35.296003,1
169,-92.068297,43.325687,1
170,-76.774208,44.758122,1
171,-97.245728,49.85384,1
172,-93.11553,31.748395,1
173,-91.573097,43.76628,1
174,-71.608929,42.105977,1
175,-92.101148,44.397792,1
176,-97.419758,29.891999,1
177,-85.461002,38.337654,1
178,-88.31039,43.013289,1
179,-122.343009,47.164103,1
180,-97.755463,30.159133,1
181,-72.317123,42.129807,1
182,-92.28102,47.544191,1
183,-92.984613,44.75616,1
184,-72.844249,41.778255,1
185,-76.939767,38.98985,1
186,-105.582933,40.346083,1
187,-93.630096,45.30886,1
188,-88.054144,42.553351,1
189,-75.330804,41.591508,1
190,-97.720963,30.522362,1
191,-82.349122,35.481733,1
192,-92.707407,45.381461,1
193,-95.527324,30.618078,1
194,-86.419581,35.815018,1
195,-80.208219,43.504878,1
196,-87.95855,43.024441,1
197,-80.70065,40.991746,1
198,-88.517524,41.641019,1
199,-97.229995,32.964695,1
200,-89.855958,44.260579,1
201,-97.389928,28.998134,1
202,-82.525588,35.435045,1
203,-79.476592,44.476775,1
204,-93.76492,41.527305,1
205,-78.132382,44.620378,1
206,-97.282853,32.246292,1
207,-84.933295,46.093502,1
208,-97.298758,31.608188,1
209,-97.390341,32.845174,1
210,-97.373105,31.918472,1
211,-94.129925,36.19228,1
212,-96.082376,32.11482,1
213,-84.646627,39.224093,1
214,-77.553195,39.431672,1
215,-84.165124,30.088991,1
216,-96.130419,50.202196,1
217,-70.001304,44.43525,1
218,-88.187353,42.975699,1
219,-95.745344,35.891498,1
220,-95.206678,32.220461,1
