,X_WGS84,Y_WGS84,hesspa
132,-87.548189,41.610425,1
133,-83.451072,43.732239,1
134,-83.612994,42.24115,1
135,-83.763997,42.422044,1
136,-83.60095,41.87287,1
137,-84.4788,45.7318,1
138,-83.35775,45.051124,1
139,-98.635,49.28,1
140,-119.35,50.36,1
141,-117.689,49.206,1
142,-117.64,49,1
143,-104.1027,44.4649,1
144,-104.3457,44.2083,1
145,-94.524361,49.785664,1
146,-94.870169,49.768132,1
147,-89.888953,41.442753,1
148,-87.555696,41.009744,1
149,-88.09738,40.445392,1
150,-89.88394,43.866632,1
151,-89.435812,43.026503,1
152,-89.391664,43.696266,1
153,-96.306044,47.462128,1
154,-86.724186,41.190374,1
155,-107.744,36.691,1
156,-89.639155,40.693576,1
157,-96.595806,50.248417,1
158,-89.493695,42.701682,1
159,-88.171519,41.302068,1
160,-81.865761,43.222496,1
161,-89.867563,42.954465,1
162,-92.73551,45.22749,1
163,-87.07702,41.648699,1
164,-89.772677,43.139549,1
165,-95.067271,43.725676,1
166,-90.05034,43.202672,1
167,-92.73475,45.74137,1
168,-88.288017,41.331211,1
169,-87.765341,41.700657,1
170,-96.878574,50.002845,1
171,-89.060978,42.990743,1
172,-92.74371,45.57317,1
173,-88.493141,41.83154,1
174,-95.745451,43.573427,1
175,-97.2721,49.8922,1
176,-89.330102,41.904209,1
177,-88.201009,42.060418,1
178,-87.841994,42.059591,1
179,-76.9156,45.7965,1
180,-95.49907,37.68486,1
181,-95.24688,38.957521,1
182,-98.277679,39.699675,1
183,-95.34686,38.52887,1
184,-92.223565,42.810075,1
185,-97.469545,38.478765,1
186,-96.37717,42.17849,1
187,-96.52226,39.78406,1
188,-96.77513,38.98116,1
189,-103.307026,44.078399,1
190,-96.5356,38.44007,1
191,-97.218832,37.460154,1
192,-97.96146,40.55006,1
193,-97.46707,38.05056,1
194,-96.527204,38.04677,1
195,-92.397849,42.757006,1
196,-97.856005,38.782286,1
197,-96.742866,39.221814,1
198,-95.15335,38.74851,1
199,-95.72785,39.8982,1
200,-94.978778,39.257884,1
201,-100.03455,42.690128,1
202,-103.4429,43.7993,1
203,-103.3024,43.76519,1
204,-97.96581,38.224,1
205,-97.83549,38.13677,1
206,-97.2736,38.96145,1
207,-97.57528,38.82759,1
208,-97.56706,39.11105,1
209,-98.13675,38.7312,1
210,-96.66663,37.34654,1
211,-96.66325,37.05018,1
212,-95.52565,38.42616,1
213,-96.64163,37.47828,1
214,-95.30327,39.55604,1
215,-95.67113,38.76917,1
216,-96.49154,39.07333,1
217,-95.16503,39.58866,1
218,-97.72117,38.73812,1
219,-96.07639,39.48203,1
220,-95.52565,39.23053,1
221,-95.84587,37.33825,1
222,-97.21897,38.14866,1
223,-95.2934,38.71621,1
224,-95.207007,38.575796,1
225,-96.3458,39.1176,1
226,-95.13484,39.06245,1
227,-97.98181,38.67704,1
228,-95.485491,39.463672,1
229,-97.186559,41.530472,1
