,X_WGS84,Y_WGS84,anecyl
702,-125.28,59.62,0
703,-125.28,58.22,0
704,-125.24,60.77,0
705,-125.12,63.2,0
706,-125.04,56.75,0
707,-125.01,68.46,0
708,-124.93,64.38,0
709,-124.93,52.62,0
710,-124.91,50.25,0
711,-124.89,72.38,0
712,-124.8,49.25,0
713,-124.67,66.52,0
714,-124.63,62.1,0
715,-124.627,54.1,0
716,-124.509,42.74,0
717,-124.426383,49.617527,0
718,-124.3867,42.2581,0
719,-124.26,54.46,0
720,-124.25,57.95,0
721,-124.25,72.87,0
722,-124.161018,52.05067,0
723,-124.13,64.84,0
724,-124.13,60.23,0
725,-124.0678,42.5567,0
726,-124.06,68.5,0
727,-124.05469,49.6126,0
728,-123.98,63.28,0
729,-123.95,67.39,0
730,-123.94,49.17,0
731,-123.94,66.02,0
732,-123.8941,45.8196,0
733,-123.83,53.19,0
734,-123.8226,41.1542,0
735,-123.79,59.13,0
736,-123.77485,42.337437,0
737,-123.75,56.2,0
738,-123.75,74.13,0
739,-123.7386,43.907,0
740,-123.7233,45.9888,0
741,-123.699952,42.646351,0
742,-123.68,61.07,0
743,-123.663208,42.15712,0
744,-123.63,72.41,0
745,-123.583579,48.312983,0
746,-123.558045,40.787237,0
747,-123.5476,44.4985,0
748,-123.5344,42.3644,0
749,-123.530249,48.533428,0
750,-123.524696,47.983316,0
751,-123.4941,45.6552,0
752,-123.474147,41.379341,0
753,-123.460064,48.923825,0
754,-123.344475,39.625825,0
755,-123.3,55.51,0
756,-123.2972,43.4222,0
757,-123.281148,47.046643,0
758,-123.278889,40.391389,0
759,-123.2715,42.6864,0
760,-123.2695,48.7489,0
761,-123.260688,44.56018,0
762,-123.26,60.04,0
763,-123.243544,41.667947,0
764,-123.24,64.88,0
765,-123.2249,44.9191,0
766,-123.22,73.64,0
767,-123.202033,44.102697,0
768,-123.191537,40.737347,0
769,-123.19,49.12,0
770,-123.18,67.73,0
771,-123.1695,42.4358,0
772,-123.1616,42.2513,0
773,-123.137222,41.298889,0
774,-123.121113,45.526998,0
775,-123.08068,39.093262,0
776,-123.07,62.21,0
777,-123.07,57.38,0
778,-123.062272,47.872837,0
779,-123.057644,40.477545,0
780,-123.050408,39.907344,0
781,-123.04,51.72,0
782,-123.0342,43.2822,0
783,-123.03,73.14,0
784,-123.01222,40.98194,0
785,-122.99,66.1,0
786,-122.99,69.14,0
787,-122.9836,44.3936,0
788,-122.970456,44.010117,0
789,-122.965655,39.403011,0
790,-122.9592,44.7636,0
791,-122.95,63.89,0
792,-122.949722,39.712222,0
793,-122.94504,38.648131,0
794,-122.937575,42.332299,0
795,-122.894468,41.375074,0
796,-122.882826,53.979374,0
797,-122.876929,49.267688,0
798,-122.869458,45.849022,0
799,-122.808024,47.046385,0
800,-122.80404,40.741751,0
801,-122.8,50.32,0
802,-122.8,71.73,0
803,-122.79,51.05,0
804,-122.777051,45.012756,0
805,-122.75728,38.93778,0
806,-122.743526,38.063216,0
807,-122.71187,41.094106,0
808,-122.711294,45.385892,0
809,-122.709717,39.311762,0
810,-122.700409,42.203538,0
811,-122.697,44.1637,0
812,-122.666082,45.669056,0
813,-122.657231,38.519282,0
814,-122.6247,41.6788,0
815,-122.617224,42.031167,0
816,-122.61,72.8,0
817,-122.61,68.23,0
818,-122.60364,49.230016,0
819,-122.59828,40.28876,0
820,-122.585941,37.862469,0
821,-122.57,66.97,0
822,-122.556431,51.972451,0
823,-122.54,52.2,0
824,-122.53,68.96,0
825,-122.520337,47.306235,0
826,-122.506784,37.552116,0
827,-122.497531,48.757848,0
828,-122.49,52.98,0
829,-122.460452,38.282329,0
830,-122.448564,51.786411,0
831,-122.446667,39.099722,0
832,-122.415998,40.998395,0
833,-122.407769,45.536741,0
834,-122.38,58.28,0
835,-122.37745,47.809217,0
836,-122.37711,38.480826,0
837,-122.366274,42.138456,0
838,-122.356095,41.289881,0
839,-122.343009,47.164103,0
840,-122.34,57.27,0
841,-122.331667,41.495556,0
842,-122.301583,37.92044,0
843,-122.3,73.83,0
844,-122.277481,51.409261,0
845,-122.274444,38.898611,0
846,-122.27,55.6,0
847,-122.23,60.12,0
848,-122.22,61.19,0
849,-122.2081,44.0402,0
850,-122.19,63.7,0
851,-122.19,72.04,0
852,-122.186286,39.429608,0
853,-122.181667,40.276667,0
854,-122.180566,52.085743,0
855,-122.17,49.07,0
856,-122.15,65.07,0
857,-122.14,55.98,0
858,-122.138533,49.37745,0
859,-122.136854,38.476327,0
860,-122.131944,41.865,0
861,-122.131107,38.16916,0
862,-122.114005,37.380805,0
863,-122.08,59.66,0
864,-122.052427,36.973232,0
865,-122.049611,37.558063,0
866,-122.0489,44.2767,0
867,-122.04,66.06,0
868,-122.04,72.95,0
869,-122.03038,42.13195,0
870,-122.013,37.886883,0
871,-122.00902,41.239201,0
872,-122,68.23,0
873,-121.999633,38.325198,0
874,-121.989526,38.623347,0
875,-121.94,50.69,0
876,-121.93335,36.61074,0
877,-121.93082,40.82112,0
878,-121.93,54.6,0
879,-121.928833,51.08197,0
880,-121.9118403,41.58392565,0
881,-121.9068,42.537,0
882,-121.89785,37.160417,0
883,-121.89314,36.33366,0
884,-121.8912,45.6431,0
885,-121.89,67.7,0
886,-121.88,51.4,0
887,-121.865984,39.420297,0
888,-121.833743,39.733701,0
889,-121.820556,39.205556,0
890,-121.813837,37.53168,0
891,-121.787812,38.523783,0
892,-121.7806,42.225,0
893,-121.75,49.19,0
894,-121.73,62.56,0
895,-121.6955,36.1769,0
896,-121.692778,36.572778,0
897,-121.691033,50.834025,0
898,-121.66,69.11,0
899,-121.65,56.39,0
900,-121.6242,44.5596,0
901,-121.62395,40.78109,0
902,-121.620833,39.5975,0
903,-121.585554,38.938754,0
904,-121.58,50.23,0
905,-121.56495,41.946267,0
906,-121.564,44.2983,0
907,-121.5419,45.6272,0
908,-121.54,53.12,0
909,-121.5132,37.5868,0
910,-121.51,66.82,0
911,-121.504722,40.103889,0
912,-121.488056,39.797222,0
913,-121.479003,51.222428,0
914,-121.456795,41.110398,0
915,-121.446928,43.88523,0
916,-121.44,49.38,0
917,-121.43,65.53,0
918,-121.4098,49.56241,0
919,-121.405,42.1989,0
920,-121.4,50.88,0
921,-121.39,58.33,0
922,-121.38,55.96,0
923,-121.374722,40.418889,0
924,-121.3692,44.7309,0
925,-121.364794,38.056627,0
926,-121.36,72.65,0
927,-121.34,50.42,0
928,-121.334498,50.623507,0
929,-121.328611,39.622222,0
930,-121.31448,36.73259,0
931,-121.311737,38.617461,0
932,-121.3076,45.1647,0
933,-121.291297,35.709868,0
934,-121.29,51.65,0
935,-121.2823,56.2564,0
936,-121.28,64.69,0
937,-121.261166,44.09145,0
938,-121.25,51.47,0
939,-121.24,67.96,0
940,-121.24,63.62,0
941,-121.229906,45.789333,0
942,-121.2239,46.800563,0
943,-121.2,61.72,0
944,-121.2,72.15,0
945,-121.140581,44.368246,0
946,-121.1283,44.6336,0
947,-121.12039,46.98493,0
948,-121.11624,36.51002,0
949,-121.1028,50.25,0
950,-121.09149,41.465929,0
951,-121.09,47.75,0
952,-121.09,73.79,0
953,-121.08,40.706389,0
954,-121.06534,41.65063,0
955,-121.062248,39.260831,0
956,-121.055615,38.903861,0
957,-121.05,59.47,0
958,-121.0475,35.6705,0
959,-121.03642,50.765003,0
960,-121.021303,55.126949,0
961,-121.0175,43.9248,0
962,-121.007,42.564,0
963,-120.9783,44.1989,0
964,-120.969259,42.372971,0
965,-120.966902,40.039924,0
966,-120.94,52.51,0
967,-120.92,56.45,0
968,-120.903774,41.306448,0
969,-120.899,49.54,0
970,-120.8661,35.3133,0
971,-120.86,63.01,0
972,-120.85,56.25,0
973,-120.84277,50.613897,0
974,-120.829913,39.018327,0
975,-120.824668,45.516774,0
976,-120.821687,38.61815,0
977,-120.821389,40.554444,0
978,-120.82,64.27,0
979,-120.81533,46.66595,0
980,-120.807652,47.12534,0
981,-120.803,42.7098,0
982,-120.79,50.11,0
983,-120.777743,49.067363,0
984,-120.7754,36.1927,0
