,X_WGS84,Y_WGS84,verhas
235,-72.037685,44.077057,1
236,-84.312212,45.182963,1
237,-90.828776,38.480305,1
238,-80.092471,40.941249,1
239,-106.949908,44.781719,1
240,-80.060119,43.861553,1
241,-75.485952,45.095521,1
242,-88.50216,42.887547,1
243,-92.274517,47.556266,1
244,-91.204095,44.333887,1
245,-76.009908,40.961892,1
246,-76.239065,45.199829,1
247,-81.589012,42.527778,1
248,-88.567522,42.40616,1
249,-91.362655,44.483033,1
250,-91.788472,44.947116,1
251,-76.905797,45.76519,1
252,-72.73555,44.351063,1
253,-75.886768,41.337138,1
254,-75.871599,45.117792,1
255,-95.792862,43.637133,1
256,-79.82401,44.419483,1
257,-72.880911,42.562427,1
258,-90.667326,42.155311,1
259,-92.18957,48.149933,1
260,-90.283235,44.584501,1
261,-78.766896,44.185946,1
262,-86.306645,39.852616,1
263,-95.522653,47.038989,1
264,-73.466553,40.755184,1
265,-90.171413,44.055393,1
266,-89.872055,42.953903,1
267,-72.514348,42.772435,1
268,-75.846587,41.916914,1
269,-89.338723,43.108351,1
270,-81.92731,42.622843,1
271,-82.178604,42.383625,1
272,-87.802047,41.597091,1
273,-93.233401,44.827578,1
274,-86.888833,39.627005,1
275,-94.429865,42.573263,1
276,-81.36412,41.41204,1
277,-80.019936,44.302175,1
278,-72.923544,43.517583,1
279,-80.122313,42.153018,1
280,-92.11628,44.544053,1
281,-71.591492,41.452037,1
282,-75.455428,44.923375,1
283,-93.758347,45.361988,1
284,-78.750842,44.082518,1
285,-87.899868,41.649299,1
286,-94.281801,46.50958,1
287,-89.221836,43.056286,1
288,-80.248565,43.694945,1
289,-93.177628,45.1412,1
290,-87.866942,45.383472,1
291,-93.348074,45.19074,1
292,-73.208113,44.805256,1
293,-72.655116,43.070794,1
294,-76.266683,42.546269,1
295,-88.133117,44.516553,1
296,-91.20191,43.78148,1
297,-88.480828,45.40735,1
298,-75.966791,45.338646,1
299,-92.078951,43.67122,1
300,-93.225342,47.193175,1
301,-76.925738,39.389952,1
302,-88.056392,42.143748,1
