,X_WGS84,Y_WGS84,echang
278,-98.79792,37.28216,1
279,-98.22929,38.65871,1
280,-96.56116,38.13008,1
281,-96.5356,38.49773,1
282,-96.665937,37.110909,1
283,-100.34417,39.34822,1
284,-97.26474,39.32989,1
285,-99.07355,37.55856,1
286,-100.4659,37.28564,1
287,-100.11744,39.03572,1
288,-96.77724,37.51002,1
289,-99.21627,38.46568,1
290,-96.85632,37.85211,1
291,-99.42812,37.14425,1
292,-95.96322,39.34259,1
293,-96.6625,43.05854,1
294,-105.4662303,44.96016225,1
295,-102.46238,45.52314,1
296,-98.01795,43.7097,1
297,-97.67502,43.24174,1
298,-100.55038,42.98817,1
299,-97.19633,43.57382,1
300,-100.220451,38.940371,1
301,-100.165295,38.860591,1
302,-96.96468,44.34785,1
303,-96.65041,43.54352,1
304,-99.44301,39.42221,1
305,-98.5035,43.19128,1
306,-98.14435,43.03899,1
307,-98.892767,43.388998,1
308,-103.297,43.6225,1
309,-97.02237,39.0016,1
310,-100.617959,39.010594,1
311,-96.89642,38.23866,1
312,-96.92287,37.51727,1
313,-98.66642,43.42798,1
314,-100.520332,36.616252,1
315,-96.210652,39.083565,1
316,-101.93619,37.01624,1
317,-98.63607,43.54151,1
318,-96.94712,37.24048,1
319,-96.17961,40.253052,1
320,-96.393933,42.539119,1
321,-103.97431,45.54998,1
322,-97.54135,43.54329,1
323,-101.31144,44.52409,1
324,-98.28783,43.08152,1
325,-99.898456,38.758083,1
326,-98.114664,39.861038,1
327,-97.856005,38.782286,1
328,-96.876776,37.342409,1
329,-96.714892,39.16371,1
330,-98.112123,39.244425,1
331,-97.590794,39.830487,1
332,-99.00486,37.432571,1
333,-99.23024,37.50903,1
334,-96.78233,37.66292,1
335,-99.133949,39.476713,1
336,-99.93095,37.18617,1
337,-99.56081,38.81949,1
338,-103.8338,44.06845,1
339,-97.14863,34.41811,1
340,-99.58172,43.96024,1
341,-96.5242,44.5066,1
342,-103.3668,44.0857,1
343,-99.9553,37.75108,1
344,-165.86,65.56,0
345,-165.4,64.92,0
346,-165.02,65.79,0
347,-164.41,62.18,0
348,-163.99,60.77,0
349,-163.69,61.68,0
350,-163.27,60.73,0
351,-163.23,67.81,0
352,-163.19,62.33,0
353,-163,65.22,0
354,-162.81,61.35,0
355,-162.74,68.92,0
356,-162.51,61.03,0
357,-162.4,61.95,0
358,-162.36,67.32,0
359,-162.2,62.71,0
360,-162.17,69.52,0
361,-161.94,68.49,0
362,-161.79,60.73,0
363,-161.75,61.72,0
364,-161.25,68.5,0
365,-161.21,59.74,0
366,-161.18,60.35,0
367,-161.14,69.45,0
368,-160.99,62.02,0
369,-160.91,65.3,0
370,-160.87,61.3,0
371,-160.68,67.62,0
372,-160.19,69.41,0
373,-160.03,60.04,0
374,-159.92,68.46,0
375,-159.81,61.11,0
376,-159.77,62.44,0
377,-159.65,56.28,0
378,-159.59,66.45,0
379,-159.58,67.32,0
380,-159.46,64.38,0
381,-159.31,60.46,0
382,-159.27,63.09,0
383,-159.24,59.28,0
384,-159.12,70.02,0
385,-159.08,68,0
386,-159.04,61.5,0
387,-158.88,69.2,0
388,-158.85,56.5,0
389,-158.51,59.93,0
390,-158.47,62.71,0
391,-158.4,69.75,0
392,-158.25,66.55,0
393,-158.17,60.73,0
394,-158.05,68.8,0
395,-157.83,59.4,0
396,-157.75,70.21,0
397,-157.6,60.12,0
398,-157.52,65.07,0
399,-157.45,68.08,0
400,-157.33,61.38,0
401,-157.14,67.39,0
402,-157.07,69.22,0
403,-156.99,62.37,0
404,-156.91,66.78,0
405,-156.76,64.33,0
406,-156.65,60.27,0
407,-156.57,58.26,0
408,-156.53,61.19,0
409,-156.27,58.9,0
410,-156.23,65.37,0
411,-156.15,68.84,0
412,-156.08,58.29,0
413,-156.06,59.85,0
414,-156,66.06,0
415,-155.85,62.4,0
416,-155.58,63.24,0
417,-155.5,65.49,0
418,-155.39,64.38,0
419,-155.35,60.65,0
420,-155.16,59.93,0
421,-154.97,58.64,0
422,-154.55,68.15,0
423,-154.48,61.57,0
424,-154.33,64.09,0
425,-153.91,68.92,0
426,-153.87,65.87,0
427,-153.79,64.77,0
428,-153.75,66.59,0
429,-153.71,62.33,0
430,-153.68,61.49,0
431,-153.52,60.62,0
432,-153.3,65.53,0
433,-153.22,68.53,0
434,-153.14,70.29,0
435,-152.65,66.86,0
436,-152.53,65.79,0
437,-152.42,63.43,0
438,-152.31,61.91,0
439,-152,69.14,0
440,-151.93,63.93,0
441,-151.66,62.33,0
442,-151.47,68.34,0
443,-151.35,66.13,0
444,-151.28,69.75,0
445,-151.24,64.46,0
446,-151.192595,63.114803,0
447,-151.05,67.62,0
448,-151.01,61.68,0
449,-150.94,66.44,0
450,-150.86,66.82,0
451,-150.67,69.37,0
452,-150.63,62.86,0
453,-150.52,65.79,0
454,-150.48,68.61,0
455,-150.4,61.8,0
456,-150.17,64.23,0
457,-150.06,67.16,0
458,-150.02,65.15,0
459,-149.95,62.29,0
460,-149.87,69.45,0
461,-149.79,69.94,0
462,-149.6,63.47,0
463,-149.53,68.15,0
464,-149.49,61.83,0
465,-149.45,62.67,0
466,-149.23,67.63,0
467,-149.11,69.45,0
468,-148.73,62.33,0
469,-148.54,63.55,0
470,-148.46,66.29,0
471,-148.439042,61.788505,0
472,-148.42,67.13,0
473,-148.08,69.26,0
474,-147.89,68.15,0
475,-147.74,62.06,0
476,-147.62,65.83,0
477,-147.59,69.07,0
478,-147.47,66.63,0
479,-147.43,63.51,0
480,-147.39,67.66,0
481,-146.94,61.95,0
482,-146.79,65.49,0
483,-146.63,68,0
484,-146.56,69.35,0
485,-146.33,65.87,0
486,-146.25,67.01,0
487,-146.155564,64.256775,0
488,-145.644103,64.148606,0
489,-145.53,64.92,0
490,-145.49,68.42,0
491,-145.347038,61.95071,0
492,-145.26,61.34,0
493,-145.156578,66.920676,0
494,-145.151818,66.7229,0
495,-144.77,69.26,0
496,-144.69,65.87,0
497,-144.65,67.7,0
498,-144.65,63.05,0
499,-144.58,68.65,0
500,-144.332108,61.521197,0
501,-144.2,66.97,0
502,-144.12,63.89,0
503,-144.04,64.96,0
504,-143.89,60.73,0
505,-143.85,69.45,0
506,-143.78,67.05,0
507,-143.78,62.33,0
508,-143.4,67.7,0
509,-143.36,62.71,0
510,-143.32,61.68,0
511,-143.25,68.69,0
512,-143.17,69.45,0
513,-142.48,65.49,0
514,-142.47,61.5,0
515,-142.41,67.81,0
516,-142.24,69.04,0
517,-142.16,64.41,0
518,-142.03,63.66,0
519,-141.99,62.02,0
520,-141.95,60.69,0
521,-141.8,65.76,0
522,-141.57,66.97,0
523,-141.42,68,0
524,-141.34,69.11,0
525,-141.3,64.73,0
526,-140.62,66.52,0
527,-140.43,67.73,0
528,-140.31,60.96,0
529,-140.2,64.57,0
530,-140.16,65.37,0
531,-140.15646,69.160935,0
532,-139.78,66.75,0
533,-139.74,62.4,0
534,-139.44,64.1,0
535,-139.36,67.89,0
536,-139.29,68.84,0
537,-139.130221,61.388277,0
538,-138.79,66.55,0
539,-138.75,65.11,0
540,-138.56,61.99,0
541,-138.535538,61.018719,0
542,-138.52,68.23,0
543,-138.49,63.47,0
544,-138.07,68.72,0
545,-137.88,68.08,0
546,-137.61,66.84,0
547,-137.519319,60.750653,0
548,-137.39,62.78,0
549,-137.06,60.37,0
550,-137.01197,61.38799,0
551,-136.96,68.04,0
552,-136.857467,62.598422,0
553,-136.77,67.01,0
554,-136.58,65.07,0
555,-136.51,66.25,0
556,-136.48,60.79,0
557,-136.16,63.81,0
558,-136.123352,61.898792,0
559,-135.86,66.9,0
560,-135.71134,60.857149,0
561,-135.63,65.6,0
562,-135.59903,59.271254,0
563,-135.48,67.85,0
564,-135.25,62.1,0
565,-135.153794,60.953972,0
566,-135,63,0
567,-134.923039,60.633398,0
568,-134.884943,60.106654,0
569,-134.87,66.82,0
570,-134.72,67.81,0
571,-134.68,65.18,0
572,-134.64,65.95,0
573,-134.53,63.93,0
574,-134.49,68.5,0
575,-134.41,69.03,0
576,-133.78,59.58,0
577,-133.77,61.45,0
578,-133.69,68.31,0
579,-133.6,66.84,0
580,-133.54,67.43,0
581,-133.42,63.74,0
582,-133.354715,62.238491,0
583,-133.35,64.88,0
584,-132.59,59.93,0
585,-132.51,67.85,0
586,-132.509492,61.969454,0
587,-132.47,63.09,0
588,-132.39,58.48,0
589,-132.28,64.31,0
590,-132.13,66.75,0
591,-131.98,68.53,0
592,-131.94,59.36,0
593,-131.84,56.65,0
594,-131.82,65.41,0
595,-131.75,61.3,0
596,-131.6,62.71,0
597,-131.52,67.51,0
598,-131.23,63.55,0
599,-131.16,57.9,0
600,-131.14,66.36,0
601,-130.87,57.15,0
602,-130.8,64.77,0
603,-130.76,61.3,0
604,-130.76,67.62,0
605,-130.72,68.38,0
606,-130.705506,58.179325,0
607,-130.68,60.39,0
608,-130.62,65.74,0
609,-130.57,62.37,0
610,-130.42,66.82,0
611,-129.88,60.43,0
612,-129.85,59.29,0
613,-129.69,64.54,0
614,-129.62,68.95,0
615,-129.59,57.51,0
616,-129.54,65.53,0
617,-129.44,68.02,0
618,-129.068056,59.370536,0
619,-129.05,63.15,0
620,-129.01,66.71,0
621,-128.85,61.76,0
622,-128.82,56.01,0
623,-128.74,56.88,0
624,-128.47,65.91,0
625,-128.41,53.16,0
626,-128.4,67.73,0
627,-128.25,64.99,0
628,-128.21,54.3,0
629,-128.09,63.97,0
630,-128.02,67.24,0
631,-127.86,68.12,0
632,-127.67,55.25,0
633,-127.52,69.71,0
634,-127.48,60.69,0
635,-127.37,56.09,0
636,-127.24,69.04,0
637,-127.14,67.43,0
638,-127.106842,54.772658,0
639,-126.61,56.77,0
640,-126.49,59.32,0
641,-126.46,62.44,0
642,-126.38,55.93,0
643,-126.23,68.88,0
644,-126.15,67.05,0
645,-125.92,57.84,0
646,-125.904,49.164,0
647,-125.88,51.4,0
648,-125.81,64.31,0
649,-125.77,67.66,0
650,-125.75,54.05,0
651,-125.54,68.19,0
