,X_WGS84,Y_WGS84,symnov
283,-87.60453,41.832639,1
284,-72.559701,41.840672,1
285,-100.12504,41.84088,1
286,-88.459557,41.842057,1
287,-89.337747,41.846303,1
288,-75.80796,41.856415,1
289,-87.759973,41.857918,1
290,-88.219118,41.869762,1
291,-100.28173,41.89109,1
292,-72.168989,41.892652,1
293,-75.558303,41.897038,1
294,-71.392325,41.901005,1
295,-88.369479,41.91165,1
296,-82.521057,41.959492,1
297,-87.632775,41.962795,1
298,-76.000532,41.989587,1
299,-87.775718,41.999276,1
300,-88.349977,42.009298,1
301,-73.511392,42.019058,1
302,-73.135936,42.026133,1
303,-82.8243,42.028052,1
304,-73.983664,42.039527,1
305,-87.672893,42.049531,1
306,-82.491364,42.079021,1
307,-76.169763,42.080365,1
308,-87.886539,42.087706,1
309,-93.570847,42.09322,1
310,-88.110211,42.099976,1
311,-73.413453,42.119197,1
312,-88.303138,42.119325,1
313,-76.904133,42.124162,1
314,-79.976044,42.127236,1
315,-88.802303,42.128332,1
316,-75.937878,42.13777,1
317,-83.107648,42.145639,1
318,-87.791562,42.148157,1
319,-89.85499,42.161002,1
320,-84.448372,42.162728,1
321,-82.829474,42.173525,1
322,-77.340745,42.179695,1
323,-99.87155,42.182308,1
324,-74.174272,42.192995,1
325,-83.574569,42.20615,1
326,-89.202586,42.209736,1
327,-71.119019,42.219179,1
328,-73.8863,42.226312,1
329,-88.454657,42.238723,1
330,-86.359749,42.247615,1
331,-88.316573,42.250192,1
332,-88.114508,42.25892,1
333,-72.567763,42.259164,1
334,-70.886263,42.260356,1
335,-87.856471,42.262401,1
336,-84.955901,42.262567,1
337,-71.847323,42.268495,1
338,-83.849288,42.269219,1
339,-71.221122,42.269941,1
340,-83.726329,42.270872,1
341,-83.08595,42.271653,1
342,-76.659111,42.277435,1
343,-88.987849,42.279793,1
344,-81.844349,42.281381,1
345,-83.443571,42.282436,1
346,-73.195305,42.297614,1
347,-71.036911,42.299619,1
348,-72.23956,42.300845,1
349,-84.207894,42.310699,1
350,-72.47908,42.322563,1
351,-82.898883,42.324973,1
352,-83.96782,42.327659,1
353,-72.928169,42.341161,1
354,-88.18815,42.351573,1
355,-71.256422,42.366594,1
356,-79.192334,42.368378,1
357,-82.396669,42.375303,1
358,-88.03088,42.376901,1
359,-83.322061,42.376926,1
360,-87.879395,42.390948,1
361,-71.113496,42.399819,1
362,-85.385549,42.40598,1
363,-82.143364,42.410408,1
364,-83.155853,42.41545,1
365,-88.327872,42.423273,1
366,-76.332974,42.426218,1
367,-71.489373,42.446509,1
368,-71.876306,42.450768,1
369,-71.311085,42.458716,1
370,-83.831198,42.461302,1
371,-87.804773,42.467977,1
372,-71.009103,42.469138,1
373,-76.529066,42.472124,1
374,-79.370035,42.474333,1
375,-83.452948,42.476062,1
376,-88.9973,42.480505,1
377,-83.975544,42.482542,1
378,-87.963388,42.485097,1
379,-88.098778,42.487752,1
380,-89.171238,42.512387,1
381,-71.411807,42.518612,1
382,-84.745792,42.523364,1
383,-84.334951,42.525753,1
384,-83.077252,42.528621,1
385,-74.835968,42.538832,1
386,-93.548024,42.570352,1
387,-88.423066,42.570809,1
388,-80.394468,42.581888,1
389,-82.535124,42.582573,1
390,-78.234489,42.597806,1
391,-71.572191,42.605002,1
392,-82.360605,42.605054,1
393,-80.51485,42.611085,1
394,-72.55418,42.611299,1
395,-81.926937,42.622772,1
396,-88.843964,42.623799,1
397,-84.543114,42.628071,1
398,-70.946463,42.633858,1
399,-80.822278,42.643678,1
400,-83.34243,42.669046,1
401,-81.335193,42.685491,1
402,-92.483201,42.696974,1
403,-73.836759,42.703878,1
404,-73.187511,42.712748,1
405,-74.094313,42.715441,1
406,-87.887015,42.718044,1
407,-77.715508,42.722692,1
408,-83.191806,42.725598,1
409,-80.28351,42.73882,1
410,-78.554595,42.742448,1
411,-81.008224,42.745339,1
412,-83.638075,42.752373,1
413,-88.04254,42.753707,1
414,-81.42159,42.758127,1
415,-84.63994,42.763498,1
416,-81.551498,42.765188,1
417,-76.881867,42.777664,1
418,-84.79598,42.78755,1
419,-77.823135,42.787868,1
420,-83.106114,42.789805,1
421,-85.988748,42.792257,1
422,-88.744761,42.798694,1
423,-70.847018,42.799072,1
424,-77.419348,42.822079,1
425,-89.241812,42.835588,1
426,-72.743452,42.837974,1
427,-79.548577,42.841873,1
428,-78.856328,42.844481,1
429,-72.560036,42.865333,1
430,-96.956153,42.867684,1
431,-79.008157,42.867975,1
432,-89.483598,42.873914,1
433,-73.833641,42.886435,1
434,-88.043374,42.900656,1
435,-85.566908,42.903134,1
436,-73.063576,42.908297,1
437,-81.260365,42.913784,1
438,-83.67493,42.920707,1
439,-76.220527,42.92581,1
440,-78.73846,42.928721,1
441,-85.341961,42.933643,1
442,-96.55103,42.93538,1
443,-81.420719,42.940033,1
444,-89.322237,42.940987,1
445,-85.861402,42.94232,1
446,-89.875812,42.963291,1
447,-76.740862,42.96678,1
448,-78.95953,42.967418,1
449,-77.392047,42.970817,1
450,-74.870219,42.979304,1
451,-89.060895,42.989801,1
452,-80.605096,42.99119,1
453,-85.464409,42.995083,1
454,-85.739097,42.99517,1
455,-81.159643,43.00311,1
456,-89.521687,43.005806,1
457,-89.738738,43.013043,1
458,-75.387445,43.02222,1
459,-89.221747,43.024808,1
460,-76.140205,43.030483,1
461,-81.281616,43.048331,1
462,-88.026199,43.050723,1
463,-89.373116,43.051604,1
464,-80.818457,43.055458,1
465,-79.284756,43.065724,1
466,-87.890565,43.066871,1
467,-96.158348,43.066957,1
468,-77.306546,43.073824,1
469,-88.17286,43.076428,1
470,-76.263555,43.077601,1
471,-77.802253,43.08622,1
472,-81.809535,43.102848,1
473,-80.261607,43.104566,1
474,-89.803331,43.10736,1
475,-89.485546,43.121558,1
476,-79.135955,43.121942,1
477,-83.86818,43.124753,1
478,-77.982839,43.131965,1
479,-79.385338,43.132314,1
480,-71.879928,43.134332,1
481,-82.578033,43.137583,1
482,-85.546351,43.138427,1
483,-83.23053,43.1392,1
484,-77.616424,43.141096,1
485,-83.661748,43.142206,1
486,-89.671304,43.142299,1
487,-80.130354,43.154875,1
488,-87.886847,43.173012,1
489,-88.942584,43.17348,1
490,-89.074934,43.184055,1
491,-79.284295,43.185415,1
492,-80.656874,43.187004,1
493,-79.57361,43.18784,1
494,-71.558203,43.193214,1
495,-76.547184,43.197992,1
496,-72.797393,43.208682,1
497,-88.186585,43.213784,1
498,-83.183349,43.225982,1
499,-80.05404,43.227493,1
500,-81.884194,43.240698,1
501,-77.45892,43.247088,1
502,-79.764969,43.249001,1
503,-80.999458,43.249067,1
504,-79.929206,43.249356,1
505,-89.163108,43.254033,1
506,-81.146087,43.262257,1
507,-70.690051,43.270602,1
508,-73.009722,43.28049,1
509,-81.750612,43.288862,1
