SN,X_WGS84,Y_WGS84,forb
72,-122.80404,40.741751,1
73,-122.79,51.05,1
74,-122.78,49.23,1
75,-122.7697,41.310263,1
76,-122.76602,38.745391,1
77,-122.753692,45.587063,1
78,-122.75,53.92,1
79,-122.76,53.92,1
80,-122.723494,41.677792,1
81,-122.71187,41.094106,1
82,-122.711294,45.385892,1
83,-122.709717,39.311762,1
84,-122.703645,38.455809,1
85,-122.700409,42.203538,1
86,-122.69,53.92,1
87,-122.666082,45.669056,1
88,-122.65428,45.52343,1
89,-122.6425,41.3575,1
90,-122.638332,41.45627,1
91,-122.603508,38.242754,1
92,-122.573735,45.440533,1
93,-122.556431,51.972451,1
94,-122.54,52.2,1
95,-122.5376,45.582527,1
96,-122.495317,41.469303,1
97,-122.49,52.98,1
98,-122.460452,38.282329,1
99,-122.446667,39.099722,1
100,-122.444922,51.787789,1
101,-122.415998,40.998395,1
102,-122.407769,45.536741,1
103,-122.385719,51.985747,1
104,-122.377895,47.630419,1
105,-122.366274,42.138456,1
106,-122.358128,37.57815,1
107,-122.356095,41.289881,1
108,-122.343736,41.155119,1
109,-122.301565,47.405446,1
110,-122.28,52.35,1
111,-122.27,55.6,1
112,-122.258775,37.879917,1
113,-122.186286,39.429608,1
114,-122.181667,40.276667,1
115,-122.180566,52.085743,1
116,-122.153107,37.481223,1
117,-122.14,55.98,1
118,-122.131107,38.16916,1
119,-122.130928,37.992058,1
120,-122.126153,37.818837,1
121,-122.100739,42.026092,1
122,-122.077981,37.087016,1
123,-122.063428,37.676535,1
124,-122.052427,36.973232,1
125,-122.049611,37.558063,1
126,-122.00902,41.239201,1
127,-122.008786,49.096772,1
128,-121.999633,38.325198,1
129,-121.989526,38.623347,1
130,-121.979736,37.974507,1
131,-121.969167,39.538056,1
132,-121.95,51.25,1
133,-121.9068,42.537,1
134,-121.8958,36.543419,1
135,-121.865984,39.420297,1
136,-121.856667,39.539167,1
137,-121.844537,39.730313,1
138,-121.833743,39.733701,1
139,-121.831492,39.147646,1
140,-121.79,49.21,1
141,-121.787812,38.523783,1
142,-121.75,49.19,1
143,-121.74,50.87,1
144,-121.722862,39.811055,1
145,-121.712032,39.83939,1
146,-121.671267,38.574877,1
147,-121.65,56.39,1
148,-121.620833,39.5975,1
149,-121.59,51.08,1
150,-121.5890584,40.08733044,1
151,-121.5888,44.5557,1
152,-121.585554,38.938754,1
153,-121.58,50.23,1
154,-121.574722,39.716389,1
155,-121.56495,41.946267,1
