,X_WGS84,Y_WGS84,amocan
541,-89.49362,42.702476,1
542,-91.530078,44.780757,1
543,-88.023834,43.439365,1
544,-104.099091,44.466736,1
545,-104.3225,44.6536,1
546,-103.814717,44.473912,1
547,-97.44465,40.33924,1
548,-89.60757,43.363554,1
549,-101.062937,43.299541,1
550,-101.901244,35.202509,1
551,-92.685873,45.78263,1
552,-97.211316,37.902927,1
553,-106.046751,35.532075,1
554,-95.604204,39.100318,1
555,-97.779238,38.717064,1
556,-99.800997,41.444526,1
557,-83.766693,42.509163,1
558,-100.644081,48.29399,1
559,-96.324502,44.014805,1
560,-90.053656,43.797939,1
561,-83.506053,42.717773,1
562,-96.376069,32.579477,1
563,-92.087214,37.768014,1
564,-93.402044,41.891763,1
565,-86.984383,38.196895,1
566,-98.568316,42.570676,1
567,-96.460306,42.543972,1
568,-83.590047,43.032427,1
569,-74.00502,40.747631,1
570,-165.86,65.56,0
571,-165.66,64.92,0
572,-165.65,62.54,0
573,-165.52,64.99,0
574,-165.4,64.92,0
575,-165.02,65.79,0
576,-164.72,63.18,0
577,-164.63,62.88,0
578,-164.54,63.18,0
579,-164.41,62.18,0
580,-164.15,65.11,0
581,-164.15,68.42,0
582,-163.99,60.77,0
583,-163.69,61.68,0
584,-163.27,60.73,0
585,-163.23,67.81,0
586,-163.19,62.33,0
587,-163,65.22,0
588,-162.81,61.35,0
589,-162.74,68.92,0
590,-162.51,61.03,0
591,-162.4,61.95,0
592,-162.36,67.32,0
593,-162.2,62.71,0
594,-162.17,69.52,0
595,-161.94,68.49,0
596,-161.79,60.73,0
597,-161.75,61.72,0
598,-161.25,68.5,0
599,-161.21,59.74,0
600,-161.18,60.35,0
601,-161.14,69.45,0
602,-160.99,62.02,0
603,-160.91,65.3,0
604,-160.87,61.3,0
605,-160.68,67.62,0
606,-160.45,63.17,0
607,-160.45,60.5,0
608,-160.23,64.69,0
609,-160.23,66.52,0
610,-160.19,69.41,0
611,-160.03,60.04,0
612,-159.92,68.46,0
613,-159.81,61.11,0
614,-159.77,62.44,0
615,-159.65,56.28,0
616,-159.59,66.45,0
617,-159.58,67.32,0
618,-159.46,64.38,0
619,-159.35,65.64,0
620,-159.35,61.87,0
621,-159.31,60.46,0
622,-159.27,63.09,0
623,-159.24,59.28,0
624,-159.12,70.02,0
625,-159.08,68,0
626,-159.04,61.5,0
627,-158.88,69.2,0
628,-158.85,56.5,0
629,-158.55,67.51,0
630,-158.55,64.96,0
631,-158.55,63.59,0
632,-158.51,59.93,0
633,-158.47,62.71,0
634,-158.4,69.75,0
635,-158.25,66.55,0
636,-158.17,60.73,0
637,-158.05,68.8,0
638,-157.9,65.56,0
639,-157.9,61.8,0
640,-157.86,63.43,0
641,-157.86,56.96,0
642,-157.83,59.4,0
643,-157.75,70.21,0
644,-157.6,60.12,0
645,-157.52,65.07,0
646,-157.45,68.08,0
647,-157.33,61.38,0
648,-157.14,67.39,0
649,-157.1,65.83,0
650,-157.1,63.28,0
651,-157.07,69.22,0
652,-156.99,62.37,0
653,-156.91,66.78,0
654,-156.84,59.36,0
655,-156.84,57.42,0
656,-156.76,64.33,0
657,-156.65,60.27,0
658,-156.57,58.26,0
659,-156.53,61.19,0
660,-156.34,70.17,0
661,-156.34,63.97,0
662,-156.3,68.23,0
663,-156.3,67.28,0
664,-156.3,62.94,0
665,-156.27,58.9,0
666,-156.23,65.37,0
667,-156.15,68.84,0
668,-156.08,58.29,0
669,-156.06,59.85,0
670,-156,66.06,0
671,-155.98,62.65,0
672,-155.85,62.4,0
673,-155.66,61.74,0
674,-155.66,66.59,0
675,-155.58,63.24,0
676,-155.5,65.49,0
677,-155.43,67.51,0
678,-155.43,69.79,0
679,-155.39,64.38,0
680,-155.35,60.65,0
681,-155.16,59.93,0
