,X_WGS84,Y_WGS84,pengra
85,-100.032975,42.782908,1
86,-93.144788,44.470172,1
87,-93.093396,44.975544,1
88,-89.792033,43.292388,1
89,-100.38343,42.90297,1
90,-92.749589,45.522571,1
91,-94.10702,43.767183,1
92,-91.080855,41.363178,1
93,-93.297,45.210303,1
94,-92.101148,44.397792,1
95,-84.09558,43.37501,1
96,-98.09337,39.03026,1
97,-98.39298,38.95849,1
98,-93.751452,45.353947,1
99,-97.202305,46.5248,1
100,-89.3326,41.23881,1
101,-95.858609,41.411223,1
102,-89.373661,43.964613,1
103,-103.421067,44.473975,1
104,-87.805927,42.486063,1
105,-94.14574,45.504225,1
106,-89.565752,43.075638,1
107,-96.284746,47.682374,1
108,-94.25524,45.927066,1
109,-98.105147,42.378483,1
110,-93.376582,44.817062,1
111,-85.780425,41.644058,1
112,-89.818264,43.997906,1
113,-94.389875,45.594684,1
114,-87.989046,41.135996,1
115,-90.112716,41.922592,1
116,-95.021456,45.313399,1
117,-99.13177,38.18908,1
118,-103.39606,42.57672,1
119,-96.60515,39.33998,1
120,-96.45389,39.06568,1
121,-90.171854,44.056043,1
122,-84.684184,39.294082,1
123,-88.73348,41.818694,1
124,-93.255883,44.982751,1
125,-100.044071,39.363753,1
126,-102.247174,40.967997,1
127,-100.65797,43.30411,1
128,-99.33782,37.60319,1
129,-99.9833,42.5586,1
130,-103.52251,43.60074,1
131,-103.74605,44.36211,1
132,-101.588051,40.853307,1
133,-103.48063,43.41823,1
134,-96.924417,39.1978,1
135,-101.372041,39.341009,1
136,-103.307026,44.078399,1
137,-96.775552,37.251501,1
138,-102.032874,39.942553,1
139,-96.799378,37.098927,1
140,-98.341811,38.751548,1
141,-94.68518,38.89765,1
142,-96.66535,38.99454,1
143,-97.10444,39.67988,1
144,-102.8133,43.77973,1
145,-98.498408,38.910639,1
146,-165.86,65.56,0
147,-165.4,64.92,0
148,-165.02,65.79,0
149,-164.41,62.18,0
150,-164.15,68.42,0
151,-163.99,60.77,0
152,-163.69,61.68,0
153,-163.27,60.73,0
154,-163.23,67.81,0
155,-163.19,62.33,0
156,-163,65.22,0
157,-162.81,61.35,0
158,-162.74,68.92,0
159,-162.51,61.03,0
160,-162.4,61.95,0
161,-162.36,67.32,0
162,-162.2,62.71,0
163,-162.17,69.52,0
164,-161.94,68.49,0
165,-161.79,60.73,0
166,-161.75,61.72,0
167,-161.25,68.5,0
168,-161.21,59.74,0
169,-161.18,60.35,0
170,-161.14,69.45,0
171,-160.99,62.02,0
172,-160.91,65.3,0
173,-160.87,61.3,0
174,-160.68,67.62,0
175,-160.45,63.17,0
176,-160.19,69.41,0
177,-160.03,60.04,0
178,-159.92,68.46,0
179,-159.81,61.11,0
180,-159.77,62.44,0
181,-159.65,56.28,0
182,-159.59,66.45,0
183,-159.58,67.32,0
184,-159.46,64.38,0
185,-159.35,61.87,0
186,-159.31,60.46,0
187,-159.27,63.09,0
188,-159.24,59.28,0
189,-159.12,70.02,0
190,-159.08,68,0
191,-159.04,61.5,0
192,-158.88,69.2,0
193,-158.85,56.5,0
194,-158.55,67.51,0
195,-158.51,59.93,0
196,-158.47,62.71,0
197,-158.4,69.75,0
198,-158.25,66.55,0
199,-158.17,60.73,0
200,-158.05,68.8,0
201,-157.9,65.56,0
202,-157.83,59.4,0
203,-157.75,70.21,0
204,-157.6,60.12,0
205,-157.52,65.07,0
206,-157.45,68.08,0
207,-157.33,61.38,0
208,-157.14,67.39,0
209,-157.1,65.83,0
210,-157.07,69.22,0
211,-156.99,62.37,0
212,-156.91,66.78,0
213,-156.84,59.36,0
214,-156.76,64.33,0
215,-156.65,60.27,0
216,-156.57,58.26,0
217,-156.53,61.19,0
218,-156.34,70.17,0
219,-156.27,58.9,0
220,-156.23,65.37,0
221,-156.15,68.84,0
222,-156.08,58.29,0
223,-156.06,59.85,0
224,-156,66.06,0
225,-155.85,62.4,0
226,-155.66,61.74,0
227,-155.58,63.24,0
228,-155.5,65.49,0
229,-155.43,67.51,0
230,-155.39,64.38,0
231,-155.35,60.65,0
232,-155.16,59.93,0
233,-154.97,58.64,0
234,-154.86,65.18,0
235,-154.55,68.15,0
236,-154.48,61.57,0
237,-154.33,64.09,0
238,-154.25,69.98,0
239,-153.91,68.92,0
240,-153.87,65.87,0
