,X_WGS84,Y_WGS84,koemac
365,-105.002686,40.525214,1
366,-88.254908,42.013125,1
367,-122.301583,37.92044,1
368,-104.737023,39.65583,1
369,-106.03863,39.335544,1
370,-104.752611,37.078111,1
371,-105.010222,36.764861,1
372,-104.877667,36.946694,1
373,-105.495447,39.270384,1
374,-104.825096,38.860195,1
375,-105.10056,39.26028,1
376,-105.235154,39.61433,1
377,-105.048042,39.779316,1
378,-105.074173,39.438114,1
379,-105.41666,39.61666,1
380,-105.223126,39.743737,1
381,-122.506784,37.552116,1
382,-122.617224,42.031167,1
383,-81.836865,43.261788,1
384,-94.689652,49.544698,1
385,-97.625639,51.183556,1
386,-97.562417,50.865444,1
387,-97.448611,51.071694,1
388,-103.663108,41.708039,1
389,-94.971651,50.267442,1
390,-103.716991,42.566096,1
391,-114.34708,49.86909,1
392,-89.88755,41.442905,1
393,-86.020924,45.108319,1
394,-85.75221,43.90251,1
395,-86.129016,43.527734,1
396,-83.612994,42.24115,1
397,-85.601067,45.176358,1
398,-85.885831,44.209911,1
399,-85.772,43.5503,1
400,-86.743915,41.79393,1
401,-85.369185,45.792263,1
402,-86.103949,44.730383,1
403,-86.447317,44.09409,1
404,-86.098363,44.248096,1
405,-86.043218,44.909941,1
406,-85.863855,44.936979,1
407,-83.11499,43.997875,1
408,-86.25139,44.691781,1
409,-84.420743,44.927807,1
410,-86.452583,43.955283,1
411,-120.5629,49.388,1
412,-124.85,54.06,1
413,-115.77,49.5,1
414,-123.305,48.843,1
415,-115.694,49.696,1
416,-123.94,49.17,1
417,-120.79,50.11,1
418,-123.2695,48.7489,1
419,-119.25,50.2,1
420,-121.4098,49.56241,1
421,-121.745,49.286,1
422,-121.1028,50.25,1
423,-121.98,49.25,1
424,-113.6674,49.7,1
425,-119.37,55.52,1
426,-122.17,49.07,1
427,-111.34,51.55,1
428,-121.88,51.4,1
429,-113.89,55.08,1
430,-120.899,49.54,1
431,-119.59,49.48,1
432,-115.6476,49.55,1
433,-113.5675,43.72,1
434,-121.34,50.42,1
435,-124.627,54.1,1
436,-117.49,50.1,1
437,-124.05469,49.6126,1
438,-116.3268,39.0424,1
439,-109.12705,44.518283,1
440,-112.133056,37.642778,1
441,-109.422036,37.782835,1
442,-120.452687,47.652744,1
443,-121.229906,45.789333,1
444,-105.3504,36.8359,1
445,-118.246261,37.586894,1
446,-105.848,40.9084,1
447,-111.7473,35.04,1
448,-105.4552,39.9789,1
449,-111.3039,38.096,1
450,-107.5739,44.0306,1
451,-106.3932,37.5539,1
452,-110.7059,42.1089,1
453,-111.2375,39.659,1
454,-109.6917,40.9378,1
455,-113.725,41.72,1
456,-114.406242,37.527629,1
457,-117.7164,42.9083,1
458,-113.0955,42.8979,1
459,-104.8553,37.5218,1
460,-108.4496,35.5453,1
461,-116.146206,44.073243,1
462,-107.5513,42.4527,1
463,-114.3522,42.2223,1
464,-109.0712,39.9161,1
465,-109.503634,43.647194,1
466,-108.7405,43.9542,1
467,-113.6958,42.2506,1
468,-87.54441,41.759502,1
469,-112.00156,54.97146,1
470,-107.905985,33.438868,1
471,-98.44974,38.839623,1
472,-94.524406,49.785831,1
473,-122.651143,38.001889,1
474,-95.900707,45.029744,1
475,-87.80955,42.419826,1
476,-96.412573,47.606397,1
477,-96.52329,42.678288,1
478,-89.244773,42.481002,1
479,-87.971239,42.485829,1
480,-87.552634,41.612491,1
481,-89.390901,43.695739,1
482,-94.237953,45.52824,1
483,-116.349919,45.609872,1
484,-122.133417,37.755629,1
485,-116.783076,33.576694,1
