,X_WGS84,Y_WGS84,bougra
453,-106.47248,36.330114,1
454,-108.907309,36.241957,1
455,-107.58232,35.28932,1
456,-107.1078,33.3866,1
457,-108.682,35.038,1
458,-108.365104,31.427061,1
459,-108.927436,31.507413,1
460,-101.677265,35.583758,1
461,-106.356529,35.832654,1
462,-106.59217,32.38655,1
463,-118.50244,34.306293,1
464,-106.014109,33.351015,1
465,-112.014296,35.263835,1
466,-105.035453,38.938337,1
467,-101.384754,47.330563,1
468,-104.741556,38.230387,1
469,-104.901906,32.104573,1
470,-104.959409,39.686059,1
471,-104.730468,40.448788,1
472,-104.488091,40.624234,1
473,-104.103622,30.706393,1
474,-103.939762,30.593001,1
475,-109.263884,31.933743,1
476,-106.377316,35.181505,1
477,-99.802377,20.685097,1
478,-107.871271,36.540814,1
479,-108.244901,32.897772,1
480,-92.505237,44.039741,1
481,-94.39069,45.59377,1
482,-104.650569,38.628605,1
483,-101.05312,39.38216,1
484,-94.10417,45.54036,1
485,-104.90763,50.766766,1
486,-99.771084,37.796484,1
487,-97.563405,32.268782,1
488,-105.689139,35.550564,1
489,-112.985883,37.199925,1
490,-97.288377,30.081646,1
491,-109.357795,31.86474,1
492,-107.359002,38.939982,1
493,-101.797476,33.567474,1
494,-96.801924,32.784839,1
495,-109.892467,34.82236,1
496,-100.474777,42.893615,1
497,-110.226871,31.345592,1
498,-107.6136752,27.72940184,1
499,-104.062222,24.590833,1
500,-96.320443,44.012293,1
501,-101.943365,43.767368,1
502,-97.1201,49.7946,1
503,-109.368322,32.008734,1
504,-106.223673,35.86003,1
505,-101.7392,39.33183,1
506,-102.060198,43.80583,1
507,-118.335104,37.895754,1
508,-100.697165,38.79945,1
509,-102.03445,39.33272,1
510,-100.11236,39.03022,1
511,-101.28,25.41,1
512,-105.369084,39.658566,1
513,-105.465947,40.678446,1
514,-105.362594,40.003825,1
515,-111.5652,53.101817,1
516,-113.5199,53.5373,1
517,-111.487383,50.7673,1
518,-104.222927,41.71316,1
519,-113.3349,53.8306,1
520,-112.208059,51.76897,1
521,-104.94826,41.965738,1
522,-104.725658,41.97651,1
523,-114.082602,53.87212,1
524,-99.48069,44.07225,1
525,-103.66656,41.70513,1
526,-105.741072,42.841797,1
527,-105.076454,33.66372,1
528,-102.42472,46.958466,1
529,-102.43667,41.7575,1
530,-104.1879088,47.18838081,1
531,-105.771707,34.422781,1
532,-98.892767,43.388998,1
533,-105.8329404,45.76069578,1
534,-97.27592,45.00554,1
535,-103.4556917,47.61372435,1
536,-97.09896,40.08343,1
537,-99.2918,43.18335,1
538,-97.984335,45.889527,1
539,-105.562965,35.430697,1
540,-102.71496,41.1486,1
541,-102.987629,39.287888,1
542,-103.612979,34.343565,1
543,-97.222875,45.743342,1
544,-97.591001,35.887781,1
545,-100.8858,45.27204,1
546,-97.620042,19.375386,1
547,-100.55042,45.39826,1
548,-104.4518235,43.34163042,1
549,-101.23814,38.48397,1
550,-99.844038,39.350266,1
551,-101.23989,37.95262,1
552,-98.73297,38.39714,1
553,-102.543921,37.636193,1
554,-99.967951,39.600773,1
555,-98.17691,38.72422,1
556,-100.85234,38.85381,1
557,-104.908113,37.922675,1
558,-96.33414,37.46921,1
559,-100.116591,39.598409,1
560,-97.582518,38.078517,1
561,-103.5173,44.07799,1
562,-98.74283,38.510198,1
563,-97.95139,37.64695,1
564,-98.101783,39.469768,1
565,-97.71735,38.79004,1
566,-97.334609,38.59649,1
567,-101.072107,37.876326,1
568,-98.637367,38.96223,1
569,-103.5719,43.36711,1
570,-97.742833,39.27648,1
571,-104.1402412,43.98293661,1
572,-98.475016,38.794243,1
573,-100.963026,38.919762,1
574,-95.432738,38.931395,1
575,-97.249023,37.624313,1
576,-97.455,38.47418,1
577,-100.3396,37.22797,1
578,-96.48816,38.70367,1
579,-101.93878,37.103912,1
580,-95.25016,38.78304,1
