,X_WGS84,Y_WGS84,geutri
299,-107.245561,39.701965,1
300,-106.155781,38.996721,1
301,-106.79758,40.9723,1
302,-106.93451,37.75051,1
303,-106.403618,39.719137,1
304,-106.61178,40.59737,1
305,-106.77263,40.77269,1
306,-107.51669,37.71248,1
307,-106.424586,38.844129,1
308,-107.23032,37.72972,1
309,-105.8338,40.26687,1
310,-106.07946,40.25471,1
311,-106.21031,39.16516,1
312,-108.237569,37.787174,1
313,-106.21857,39.74771,1
314,-106.89392,37.4461,1
315,-105.469733,39.60165,1
316,-119.309283,50.040574,1
317,-122.444922,51.787789,1
318,-116.497413,45.516665,1
319,-106.487496,37.229952,1
320,-103.398888,46.923272,1
321,-115.851608,50.165489,1
322,-115.846,50.297519,1
323,-115.736411,49.795356,1
324,-112.278703,51.416139,1
325,-104.112688,44.474612,1
326,-106.321397,39.387456,1
327,-114.515047,46.749824,1
328,-118.573448,42.708768,1
329,-76.719486,44.36593,1
330,-77.155592,44.234225,1
331,-117.374696,47.637105,1
332,-76.561572,44.277288,1
333,-117.582242,41.682794,1
334,-106.387947,36.969269,1
335,-101.235593,51.388677,1
336,-114.097411,51.710128,1
337,-88.069423,41.638233,1
338,-102.540313,45.570642,1
339,-116.89204,45.15778,1
340,-76.087048,44.099606,1
341,-114.011828,49.069111,1
342,-119.984709,38.688264,1
343,-123.243544,41.667947,1
344,-119.647771,38.334492,1
345,-120.1,38.6736,1
346,-121.0903658,40.58820816,1
347,-120.199444,39.923611,1
348,-120.674444,40.31,1
349,-121.1675,41.710278,1
350,-120.72,41.076944,1
351,-120.757222,40.530833,1
352,-121.08,40.706389,1
353,-120.368611,39.894444,1
354,-120.448889,40.006389,1
355,-120.9175,40.706944,1
356,-123.3652,47.924828,1
357,-117.999074,52.802169,1
358,-119.233202,38.097405,1
359,-110.9356,40.17638,1
360,-78.9822,44.520834,1
361,-71.704683,43.864276,1
362,-78.61822,44.646811,1
363,-96.429098,47.063757,1
364,-116.978554,45.547197,1
365,-119.81675,38.547342,1
366,-104.81665,49.2546,1
367,-105.661539,40.354456,1
368,-111.075825,43.773465,1
369,-118.999414,49.056584,1
370,-114.8394,50.551705,1
371,-94.388075,45.595192,1
372,-101.124703,50.122242,1
373,-113.268315,53.532709,1
374,-107.064864,38.911992,1
375,-110.393263,44.554292,1
376,-110.174522,44.867612,1
377,-106.470712,50.657445,1
378,-91.380326,44.818551,1
379,-111.031508,44.652187,1
380,-120.209075,42.106235,1
381,-106.525284,35.814536,1
382,-114.01077,50.914713,1
383,-110.11535,49.619087,1
384,-111.298071,45.271937,1
385,-99.729581,49.781577,1
386,-112.576,52.598705,1
387,-113.791232,49.041383,1
388,-103.382827,43.602184,1
389,-116.928597,45.827603,1
390,-114.093667,43.827443,1
391,-116.163277,45.754762,1
392,-104.979575,38.980038,1
393,-117.939987,48.513828,1
394,-110.825935,43.363087,1
395,-113.472611,49.011253,1
396,-114.074447,49.955172,1
397,-96.033203,43.9361,1
398,-95.652308,46.957452,1
399,-104.878659,39.366427,1
400,-105.28017,40.015333,1
401,-113.721145,50.803597,1
402,-96.150803,44.115136,1
403,-104.716697,38.713653,1
404,-120.173425,41.9743,1
405,-106.394753,35.911525,1
406,-95.513512,45.537651,1
407,-111.847357,45.843403,1
408,-108.716698,42.507307,1
409,-114.0081,44.41663,1
410,-94.35709,45.47357,1
411,-102.899605,48.453728,1
412,-114.564371,49.633202,1
413,-94.485648,44.339438,1
414,-109.658644,34.180547,1
415,-111.237488,45.447078,1
416,-96.769225,46.863975,1
417,-114.43798,50.807255,1
418,-111.075887,45.918819,1
419,-79.189904,43.828168,1
420,-93.385776,45.232178,1
421,-92.747107,45.293149,1
422,-81.76358,43.3157,1
423,-87.585617,41.787883,1
424,-96.34708,47.632275,1
425,-87.97042,41.88733,1
426,-83.701842,46.086399,1
427,-117.305342,47.034012,1
428,-114.216483,47.323862,1
429,-95.394086,44.768265,1
430,-93.42224,44.631685,1
431,-93.152479,44.014083,1
432,-95.242934,44.005427,1
433,-94.05906,45.403889,1
434,-93.252399,45.077013,1
435,-94.383718,46.338265,1
436,-96.437023,44.680542,1
437,-95.748006,45.810665,1
438,-93.860001,45.331908,1
439,-91.42281,43.767743,1
440,-93.168729,45.380475,1
441,-94.186232,45.786582,1
442,-94.536576,46.807685,1
443,-95.049947,44.101176,1
444,-96.265975,44.827179,1
445,-93.031603,44.502807,1
446,-95.944003,44.346395,1
447,-94.835117,45.376923,1
448,-95.699254,44.262693,1
449,-92.33874,44.520016,1
450,-92.886108,44.894692,1
451,-114.328027,49.55835,1
452,-77.312905,44.147,1
453,-112.281086,42.430604,1
454,-89.79041,43.292781,1
455,-95.19493,47.227292,1
456,-105.319126,39.351249,1
457,-87.788876,42.14205,1
458,-110.59578,43.670325,1
459,-93.223792,44.957847,1
460,-111.155075,44.80028,1
461,-109.308922,45.156475,1
462,-89.439711,43.089193,1
463,-110.863134,49.654687,1
464,-95.860433,45.064433,1
465,-98.865236,47.236393,1
466,-119.84021,48.654599,1
467,-114.74588,47.528153,1
468,-88.188192,42.351125,1
469,-112.392857,46.525991,1
470,-116.98503,46.662758,1
471,-98.078371,47.03891,1
472,-119.920797,42.928202,1
